"ea_id","FNID"
17604003,"TZ2009L123"
17615002,"TZ2009L123"
13216004,"TZ2009L124"
13412003,"TZ2009L124"
7312048,"TZ2009L124"
13216004,"TZ2009L124"
13216004,"TZ2009L124"
13216004,"TZ2009L124"
13303002,"TZ2009L124"
13303002,"TZ2009L124"
13303002,"TZ2009L124"
13303002,"TZ2009L124"
13412003,"TZ2009L124"
13412003,"TZ2009L124"
14209002,"TZ2009L124"
14301004,"TZ2009L124"
14301004,"TZ2009L124"
17817001,"TZ2009L124"
130518102005,"TZ2009L124"
130301302318,"TZ2009L124"
130330304001,"TZ2009L124"
21110003,"TZ2009L125"
21209001,"TZ2009L125"
8501311,"TZ2009L125"
13124001,"TZ2009L125"
21110003,"TZ2009L125"
21110003,"TZ2009L125"
21209001,"TZ2009L125"
21209001,"TZ2009L125"
21209001,"TZ2009L125"
21309003,"TZ2009L125"
210201101006,"TZ2009L125"
210107101002,"TZ2009L125"
210223102002,"TZ2009L125"
130201103002,"TZ2009L125"
19227012,"TZ2009L126"
19604003,"TZ2009L126"
19707005,"TZ2009L126"
19804321,"TZ2009L126"
19806003,"TZ2009L126"
20511003,"TZ2009L126"
3414003,"TZ2009L126"
3504002,"TZ2009L126"
7104136,"TZ2009L126"
7104145,"TZ2009L126"
16230013,"TZ2009L126"
17401312,"TZ2009L126"
17712001,"TZ2009L126"
17808305,"TZ2009L126"
18214005,"TZ2009L126"
18611001,"TZ2009L126"
18611001,"TZ2009L126"
19111005,"TZ2009L126"
19227012,"TZ2009L126"
19227012,"TZ2009L126"
19302076,"TZ2009L126"
19302076,"TZ2009L126"
19307058,"TZ2009L126"
19307058,"TZ2009L126"
19307058,"TZ2009L126"
19307058,"TZ2009L126"
19307058,"TZ2009L126"
19307058,"TZ2009L126"
19517001,"TZ2009L126"
19604003,"TZ2009L126"
19604003,"TZ2009L126"
19604003,"TZ2009L126"
19604003,"TZ2009L126"
19621004,"TZ2009L126"
19628005,"TZ2009L126"
19707005,"TZ2009L126"
19707005,"TZ2009L126"
19804321,"TZ2009L126"
19806003,"TZ2009L126"
19806003,"TZ2009L126"
20511003,"TZ2009L126"
250108101016,"TZ2009L126"
190517103006,"TZ2009L126"
190602211007,"TZ2009L126"
240506302006,"TZ2009L126"
250101102016,"TZ2009L126"
200509204001,"TZ2009L126"
200602102004,"TZ2009L126"
190306202006,"TZ2009L126"
190509104003,"TZ2009L126"
190606206006,"TZ2009L126"
240506304313,"TZ2009L126"
18305002,"TZ2009L127"
18611001,"TZ2009L127"
7116357,"TZ2009L127"
7116454,"TZ2009L127"
18231002,"TZ2009L127"
18305002,"TZ2009L127"
18305002,"TZ2009L127"
18305002,"TZ2009L127"
18305002,"TZ2009L127"
18305002,"TZ2009L127"
18313006,"TZ2009L127"
18611001,"TZ2009L127"
18611001,"TZ2009L127"
19604003,"TZ2009L127"
19628005,"TZ2009L127"
250501303006,"TZ2009L127"
180308105003,"TZ2009L127"
180205102011,"TZ2009L127"
180605202006,"TZ2009L127"
16221001,"TZ2009L128"
16303002,"TZ2009L128"
18109001,"TZ2009L128"
18118003,"TZ2009L128"
18127001,"TZ2009L128"
18203003,"TZ2009L128"
18214005,"TZ2009L128"
18231002,"TZ2009L128"
18313006,"TZ2009L128"
18331002,"TZ2009L128"
18514003,"TZ2009L128"
20117005,"TZ2009L128"
7109102,"TZ2009L128"
7201125,"TZ2009L128"
16101320,"TZ2009L128"
16202003,"TZ2009L128"
16221001,"TZ2009L128"
16221001,"TZ2009L128"
16227002,"TZ2009L128"
16303002,"TZ2009L128"
16303002,"TZ2009L128"
17808305,"TZ2009L128"
18109001,"TZ2009L128"
18109001,"TZ2009L128"
18109001,"TZ2009L128"
18118003,"TZ2009L128"
18118003,"TZ2009L128"
18118003,"TZ2009L128"
18127001,"TZ2009L128"
18203003,"TZ2009L128"
18203003,"TZ2009L128"
18203003,"TZ2009L128"
18203003,"TZ2009L128"
18214005,"TZ2009L128"
18214005,"TZ2009L128"
18214005,"TZ2009L128"
18231002,"TZ2009L128"
18231002,"TZ2009L128"
18231002,"TZ2009L128"
18305002,"TZ2009L128"
18313006,"TZ2009L128"
18331002,"TZ2009L128"
18331002,"TZ2009L128"
18414007,"TZ2009L128"
18414007,"TZ2009L128"
18514003,"TZ2009L128"
18514003,"TZ2009L128"
18514003,"TZ2009L128"
18514003,"TZ2009L128"
18514003,"TZ2009L128"
18608011,"TZ2009L128"
19201306,"TZ2009L128"
20117005,"TZ2009L128"
20117005,"TZ2009L128"
20324004,"TZ2009L128"
180102103015,"TZ2009L128"
180106302306,"TZ2009L128"
180119102003,"TZ2009L128"
180216103006,"TZ2009L128"
180326102004,"TZ2009L128"
180342103002,"TZ2009L128"
180511105004,"TZ2009L128"
180709101002,"TZ2009L128"
180809101009,"TZ2009L128"
160606102007,"TZ2009L128"
200112103013,"TZ2009L128"
200613103002,"TZ2009L128"
180112103001,"TZ2009L128"
180226304004,"TZ2009L128"
180319106001,"TZ2009L128"
180334302009,"TZ2009L128"
180520101027,"TZ2009L128"
180801106007,"TZ2009L128"
180815102005,"TZ2009L128"
160614104007,"TZ2009L128"
160808205005,"TZ2009L128"
17302007,"TZ2009L129"
17401312,"TZ2009L129"
17506011,"TZ2009L129"
18414007,"TZ2009L129"
19201306,"TZ2009L129"
19208001,"TZ2009L129"
19225003,"TZ2009L129"
19302076,"TZ2009L129"
19420004,"TZ2009L129"
19621004,"TZ2009L129"
19628005,"TZ2009L129"
20201003,"TZ2009L129"
20303002,"TZ2009L129"
20409389,"TZ2009L129"
20420001,"TZ2009L129"
3106003,"TZ2009L129"
3504002,"TZ2009L129"
4502005,"TZ2009L129"
7104145,"TZ2009L129"
7115088,"TZ2009L129"
7301075,"TZ2009L129"
9301016,"TZ2009L129"
13102003,"TZ2009L129"
14110022,"TZ2009L129"
14110022,"TZ2009L129"
14316002,"TZ2009L129"
14316002,"TZ2009L129"
15103019,"TZ2009L129"
16101320,"TZ2009L129"
16101320,"TZ2009L129"
16105003,"TZ2009L129"
17113001,"TZ2009L129"
17113001,"TZ2009L129"
17211004,"TZ2009L129"
17302007,"TZ2009L129"
17302007,"TZ2009L129"
17302007,"TZ2009L129"
17302007,"TZ2009L129"
17302007,"TZ2009L129"
17308003,"TZ2009L129"
17308003,"TZ2009L129"
17401312,"TZ2009L129"
17401312,"TZ2009L129"
17401312,"TZ2009L129"
17402007,"TZ2009L129"
17402007,"TZ2009L129"
17402007,"TZ2009L129"
17402007,"TZ2009L129"
17402007,"TZ2009L129"
17421001,"TZ2009L129"
17421001,"TZ2009L129"
17421001,"TZ2009L129"
17423001,"TZ2009L129"
17423001,"TZ2009L129"
17506011,"TZ2009L129"
17506011,"TZ2009L129"
17506011,"TZ2009L129"
17506011,"TZ2009L129"
17615002,"TZ2009L129"
17713001,"TZ2009L129"
17713001,"TZ2009L129"
17808305,"TZ2009L129"
17808305,"TZ2009L129"
17808305,"TZ2009L129"
18313006,"TZ2009L129"
18414007,"TZ2009L129"
18414007,"TZ2009L129"
18414007,"TZ2009L129"
18414007,"TZ2009L129"
18414007,"TZ2009L129"
18414007,"TZ2009L129"
18414007,"TZ2009L129"
18414007,"TZ2009L129"
18414007,"TZ2009L129"
18414007,"TZ2009L129"
18414007,"TZ2009L129"
19111005,"TZ2009L129"
19201306,"TZ2009L129"
19201306,"TZ2009L129"
19201306,"TZ2009L129"
19201306,"TZ2009L129"
19208001,"TZ2009L129"
19208001,"TZ2009L129"
19208001,"TZ2009L129"
19208001,"TZ2009L129"
19208001,"TZ2009L129"
19208001,"TZ2009L129"
19208001,"TZ2009L129"
19208001,"TZ2009L129"
19225003,"TZ2009L129"
19225003,"TZ2009L129"
19225003,"TZ2009L129"
19225003,"TZ2009L129"
19226005,"TZ2009L129"
19226005,"TZ2009L129"
19227012,"TZ2009L129"
19227012,"TZ2009L129"
19302076,"TZ2009L129"
19302076,"TZ2009L129"
19302076,"TZ2009L129"
19302076,"TZ2009L129"
19302076,"TZ2009L129"
19307058,"TZ2009L129"
19307058,"TZ2009L129"
19307058,"TZ2009L129"
19307058,"TZ2009L129"
19420004,"TZ2009L129"
19420004,"TZ2009L129"
19420004,"TZ2009L129"
19517001,"TZ2009L129"
19604003,"TZ2009L129"
19621004,"TZ2009L129"
19621004,"TZ2009L129"
19621004,"TZ2009L129"
19621004,"TZ2009L129"
19628005,"TZ2009L129"
19628005,"TZ2009L129"
19628005,"TZ2009L129"
19628005,"TZ2009L129"
19628005,"TZ2009L129"
19628005,"TZ2009L129"
19628005,"TZ2009L129"
19628005,"TZ2009L129"
19628005,"TZ2009L129"
19628005,"TZ2009L129"
19707005,"TZ2009L129"
19707005,"TZ2009L129"
19707005,"TZ2009L129"
19707005,"TZ2009L129"
19707005,"TZ2009L129"
19707005,"TZ2009L129"
19804321,"TZ2009L129"
19804321,"TZ2009L129"
19804321,"TZ2009L129"
19806003,"TZ2009L129"
19806003,"TZ2009L129"
19806003,"TZ2009L129"
20201003,"TZ2009L129"
20303002,"TZ2009L129"
20303002,"TZ2009L129"
20303002,"TZ2009L129"
20324004,"TZ2009L129"
20409389,"TZ2009L129"
20409389,"TZ2009L129"
20409389,"TZ2009L129"
20420001,"TZ2009L129"
20420001,"TZ2009L129"
20420001,"TZ2009L129"
20420001,"TZ2009L129"
20511003,"TZ2009L129"
20511003,"TZ2009L129"
250128302003,"TZ2009L129"
250135212001,"TZ2009L129"
250304101001,"TZ2009L129"
200222101001,"TZ2009L129"
200401301304,"TZ2009L129"
200412103003,"TZ2009L129"
200718103011,"TZ2009L129"
190201301003,"TZ2009L129"
190309210003,"TZ2009L129"
190403104001,"TZ2009L129"
190429103004,"TZ2009L129"
190701103002,"TZ2009L129"
170402303014,"TZ2009L129"
250121102008,"TZ2009L129"
250202101001,"TZ2009L129"
250402101008,"TZ2009L129"
250413304329,"TZ2009L129"
250515302002,"TZ2009L129"
180407104004,"TZ2009L129"
200201104006,"TZ2009L129"
200310104009,"TZ2009L129"
200706102005,"TZ2009L129"
190210102002,"TZ2009L129"
190416104003,"TZ2009L129"
190425214004,"TZ2009L129"
190714101006,"TZ2009L129"
170303103001,"TZ2009L129"
170320104001,"TZ2009L129"
170510302004,"TZ2009L129"
170514301305,"TZ2009L129"
18203003,"TZ2009L130"
18203003,"TZ2009L130"
18611001,"TZ2009L130"
14110022,"TZ2009L131"
14115003,"TZ2009L131"
14224001,"TZ2009L131"
14301004,"TZ2009L131"
17113001,"TZ2009L131"
17201001,"TZ2009L131"
17211004,"TZ2009L131"
17308003,"TZ2009L131"
17402007,"TZ2009L131"
17423001,"TZ2009L131"
17615002,"TZ2009L131"
19226005,"TZ2009L131"
7303001,"TZ2009L131"
13124001,"TZ2009L131"
13216004,"TZ2009L131"
13216004,"TZ2009L131"
14110022,"TZ2009L131"
14110022,"TZ2009L131"
14110022,"TZ2009L131"
14115003,"TZ2009L131"
14115003,"TZ2009L131"
14115003,"TZ2009L131"
14208002,"TZ2009L131"
14208002,"TZ2009L131"
14209002,"TZ2009L131"
14224001,"TZ2009L131"
14301004,"TZ2009L131"
14301004,"TZ2009L131"
14301004,"TZ2009L131"
14301004,"TZ2009L131"
14301004,"TZ2009L131"
