"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
70,135,"MWI","Malawi",9,"Kasungu",70,"SC Lukwa","",NA,"","Sub-chief","Sub-chief","",""
71,135,"MWI","Malawi",9,"Kasungu",71,"SC M'nyanja","",NA,"","Sub-chief","Sub-chief","",""
72,135,"MWI","Malawi",9,"Kasungu",72,"SC Njombwa","",NA,"","Sub-chief","Sub-chief","",""
73,135,"MWI","Malawi",9,"Kasungu",73,"SC Simlemba","",NA,"","Sub-chief","Sub-chief","",""
74,135,"MWI","Malawi",9,"Kasungu",74,"TA Chulu","",NA,"","Traditional Authority","Traditional Authority","",""
75,135,"MWI","Malawi",9,"Kasungu",75,"TA Kaluluma","",NA,"","Traditional Authority","Traditional Authority","",""
76,135,"MWI","Malawi",9,"Kasungu",76,"TA Kaomba","",NA,"","Traditional Authority","Traditional Authority","",""
77,135,"MWI","Malawi",9,"Kasungu",77,"TA Kapelula","",NA,"","Traditional Authority","Traditional Authority","",""
78,135,"MWI","Malawi",9,"Kasungu",78,"TA Mwase","",NA,"","Traditional Authority","Traditional Authority","",""
79,135,"MWI","Malawi",9,"Kasungu",79,"TA Santhe","",NA,"","Traditional Authority","Traditional Authority","",""
80,135,"MWI","Malawi",9,"Kasungu",80,"TA Wimbe","",NA,"","Traditional Authority","Traditional Authority","",""
81,135,"MWI","Malawi",10,"Likoma",81,"Lake Malawi","",NA,"","Water body","Water body","",""
82,135,"MWI","Malawi",11,"Lilongwe",82,"Lilongwe City","",NA,"","City","City","",""
83,135,"MWI","Malawi",11,"Lilongwe",83,"SC Chitekwele","",NA,"","Sub-chief","Sub-chief","",""
84,135,"MWI","Malawi",11,"Lilongwe",84,"SC Mtema","",NA,"","Sub-chief","Sub-chief","",""
85,135,"MWI","Malawi",11,"Lilongwe",85,"SC Njewa","",NA,"","Sub-chief","Sub-chief","",""
86,135,"MWI","Malawi",11,"Lilongwe",86,"SC Tsabango","",NA,"","Sub-chief","Sub-chief","",""
87,135,"MWI","Malawi",11,"Lilongwe",87,"TA Chadza","",NA,"","Traditional Authority","Traditional Authority","",""
88,135,"MWI","Malawi",11,"Lilongwe",88,"TA Chimutu","",NA,"","Traditional Authority","Traditional Authority","",""
89,135,"MWI","Malawi",11,"Lilongwe",89,"TA Chiseka","",NA,"","Traditional Authority","Traditional Authority","",""
90,135,"MWI","Malawi",11,"Lilongwe",90,"TA Chitukula","",NA,"","Traditional Authority","Traditional Authority","",""
91,135,"MWI","Malawi",11,"Lilongwe",91,"TA Kabudula","",NA,"","Traditional Authority","Traditional Authority","",""
