cellphone,number_celphones,rcsi,logFCS,hdds,asset_index,housing_index,nutri_reten_constrained,nutri_avail_constrained,dist_km,maize_price,maize_mktthin,rice_price,rice_mktthin,tmean,floodmax,raincytot,day1rain,maxdaysnorain
0.8888889,1.6666666,4.4444447,4.2100062,7.2222223,-0.075723618,-0.88582546,1,1,16.365112,47227.602,0.40000001,129816,0.40000001,,,,,
0.875,1.75,3.5,2.8481269,2,,-0.88582605,1,1,16.365112,60183.301,0,132666.64,0,,,,,
1,4.5,0,3.4811218,3,,-0.88582069,1,1,16.365112,57825.051,0,120791.75,0,,,,,
1,2,0,3.5141006,3.5,,-0.88582069,1,1,16.365112,58466.801,0,102541.65,0,,,,,
1,1,0,4.1190372,8,-0.39868096,-0.88582069,1,1,21.352201,40000,0,130000,0,,,,,
0.75,1.625,2.25,2.9697232,2.5,,0.68608975,1,1,21.352201,74555.563,0,188888.91,0,,,,,
0.55555558,1.1111112,6.7777777,4.1673565,5.8888888,-0.075724244,1.2100638,1,1,21.352201,30000,0,120000,0,,,,,
1,1,0,1.9459101,2,,-0.88582069,1,1,21.352201,54000,0,137500,0,,,,,
1,2,0,3.3672957,2,,-0.88582069,1,1,29.649576,63666.75,0,183333.2,0,,,,,
0.89999998,2.2,2.4000001,4.1903701,7.0999999,0.18264206,-0.88582069,1,1,29.649576,31771,1,123750,1,,,,,
0.8888889,2.4444444,2.1111112,3.2244625,2.5555556,,-0.88582069,1,1,29.649576,54000,0,137500,0,,,,,
1,2,0,4.4778051,7,1.054626,-0.88582069,1,1,29.649576,41538,0,150000,0,,,,,
1,2,0,2.6390574,3,,-0.88583499,1,1,29.649576,57442,0,182500,0,,,,,
1,2,0,4.3757572,6,-0.39867803,-0.88582069,1,1,29.649576,42909,0,150000,0,,,,,
1,1,1,3.4657359,4,,-0.88582069,1,1,35.299133,80173.609,0,184159.7,0,27.51771404,601.717107,571.2858552,6,170
1,2,3,3.4657359,2,,-0.88582069,1,1,35.299133,82125,0,193275,0,26.98271353,836.6490073,601.717107,166,179
0.625,1.125,2.75,4.1540031,6.25,-0.39868104,0.68608975,1,1,35.299133,30060.5,0,91192,0,26.75108481,504.5416683,627.4015087,37,146
0.83333331,1.4166666,4.6666665,3.0785077,2.5833333,,1.2100646,1,1,35.299133,64700,0,174000,0,27.51771404,601.717107,571.2858552,6,170
1,7,0,2.8903718,1,,-0.88582069,1,1,63.3461,47173.168,0,128809.52,0,23.54498979,763.9092407,665.5031695,64,167
1,2,0,3.0784895,2.5,,-0.11846817,1,1,63.3461,76842.859,0,186071.42,0,23.54498979,763.9092407,665.5031695,64,167
1,5,0,4.6101575,8,-0.39867809,-0.88582069,1,1,63.3461,39252.371,0,118095.23,0,23.31798371,687.1691965,485.6492664,64,156
0.33333334,0.66666669,1.3333334,4.1825047,6.3333335,-0.39868104,-0.88583022,1,1,63.3461,29114.285,0,100000,0,23.19904562,485.6492664,723.0927156,36,169
1,1.6666666,3.5,3.0660157,3,,-0.36185831,1,1,63.3461,65130,0,174940.42,0,24.29505336,665.5031695,687.1691966,43,154
1,1,0,3.1780539,2,,-0.88582069,1,1,63.3461,49137.035,0,109017.79,0,23.54498979,763.9092407,665.5031695,64,167
1,2,12,3.2958369,4,,-0.88583499,1,1,46.739754,81570,0,190820,0,,,,,
1,5,0,3.0910425,2,,-0.88582069,1,1,46.739754,51566.602,0,137041.72,0,,,,,
0.33333334,0.33333334,5.3333335,3.9584413,5.3333335,-0.39868098,0.86074603,1,1,46.739754,50600,0,104000,0.60000002,,,,,
0.55555558,0.77777779,9.5555553,2.4634032,1.6666666,,0.51142985,1,1,46.739754,64653.32,0,144949.97,0,,,,,
1,2,2,4.1470251,6,-0.39867809,-0.88582069,1,1,46.739754,39858.398,0,139408.2,0,,,,,
1,2,0,2.4849067,1,,2.2580109,1,1,46.739754,52370.949,0,130208.25,0,,,,,
1,1,0,3.5553482,3,,2.2580109,1,1,46.739754,52158.25,0,129375.05,0,,,,,
0.625,0.75,0,2.9236188,2.625,,-0.49285248,1,1,70.667084,42830,0,125833.3,0,,,,,
0.66666669,1,0.22222222,4.0908842,6.7777777,-0.39868101,-0.5365172,1,1,70.667084,38167,0,127222,0,,,,,
1,4,0,2.8903718,2,,-0.88583499,1,1,70.667084,47208.25,0,126041.75,0,,,,,
1,3,3,4.4067192,5,-0.39868104,-0.88582069,0,0,45.720798,37581.668,0,104722.34,0,,,,,
1,1,0,2.4849067,1,,-0.88583499,1,1,45.720798,81200,0,189183.33,0,,,,,
0.25,0.25,0.25,4.2463994,6.75,-0.39868101,-0.099873528,1,1,45.720798,31783.334,0,94250,0,,,,,
1,3,0,4.59512,8,2.5079329,-0.88582069,0,0,45.720798,39852.668,0,153077,0,,,,,
0.33333334,0.44444445,0,2.7978361,2.1111112,,-0.5365172,0.8888889,0.8888889,45.720798,64433.332,0,172166.67,0,,,,,
1,1.6666666,0,2.8024595,3,,-0.88582546,1,1,33.295078,50676.434,0,130944.46,0,24.73622989,1125.907936,719.5023121,30,163
0.80000001,1.2,1.9,4.3385248,7.5999999,-0.39868101,-0.88583499,1,1,33.295078,50500,0,112000,0.40000001,24.2695131,767.1673057,665.6384604,32,165
0.80000001,1.4,2.5999999,3.0378358,2.4000001,,-0.8858307,1,1,33.295078,52661.266,0,139222.2,0,24.73622989,1125.907936,719.5023121,30,163
1,6,2,3.1354942,3,,-0.88582069,1,1,33.295078,64106.68,0,147533.28,0,24.73622989,1125.907936,719.5023121,30,163
1,3,0,4.2696977,6,-0.39868104,-0.88582069,1,1,33.295078,41008.398,0,142174.8,0,24.2695131,767.1673057,665.6384604,32,165
1,3,0,4.5108595,8,2.5079329,-0.88582069,1,1,49.018848,46025,0,127500,0,26.63605307,696.247424,578.9011719,32,159
1,1.5,0,2.5964785,1.5,,-0.88582069,1,1,49.018848,78753.469,0,188774.28,0,27.29248491,667.5764441,696.247424,6,162
1,1,4,4.2696977,7,-0.39868096,-0.88583499,1,1,49.018848,36243.5,0,103010.5,0,26.63605307,696.247424,578.9011719,32,159
0.55555558,0.77777779,4.4444447,4.1373158,6.2222223,-0.075723909,1.2100654,1,1,49.018848,31962.5,0,94750,0,26.55105195,578.9011719,641.5398469,13,155
0.875,1.25,5,2.7835355,2.625,,1.0790722,1,1,49.018848,63075,0,177625,0,27.29248491,667.5764441,696.247424,6,162
0.72727275,1.3636364,2.1818182,2.9527884,2.3636363,,0.96174699,0.36363637,0.36363637,14.149822,47235.715,0,128293.64,0,27.47779983,0,712.9492073,30,172
1,2.5,7,2.8518913,3,,-0.88582069,1,1,14.149822,51330.465,0,128779.68,0,27.47779983,0,712.9492073,30,172
0.625,1,3.25,4.1927271,6.75,-0.39868104,1.4720511,0.375,0.375,14.149822,41031.855,0,127428.29,0,27.62321583,0,531.8604138,25,168
1,2,14,4.4308167,5,-0.39868098,-0.88583499,1,1,56.310783,38513,0,107907.34,0,23.42970601,0,798.0384628,48,90
1,1,0,2.3025851,2,,0.64889866,1,1,56.310783,75575.758,0,187636.36,0,24.28028514,0,873.3539909,26,103
0.71428573,1,5.1428571,3.8493693,6.2857141,-0.39868018,0.012416899,1,1,56.310783,28803,0,89519,0,23.57261467,0,952.3445775,34,91
0.71428573,1.4285715,7.7142859,2.6853974,2.8571429,,0.012414856,0.85714287,0.85714287,56.310783,60066.668,0,175266.67,0,23.73951451,0,820.9766479,33,91
0.81818181,1.1818181,5.2727275,2.6193302,2.2727273,,1.3870711,0.72727275,0.72727275,63.599037,42830,0,125833.3,0,26.0345892,1081.240572,777.578746,8,165
1,1,0,4.2121277,6,-0.39868104,2.2580109,1,1,63.599037,36327,0,151731,0,26.04088424,930.1800469,662.2181832,40,176
1,1,0,2.7080503,3,,2.2580109,1,1,63.599037,63900,0,168500,0,26.54100198,777.578746,930.1800469,4,165
1,1,0,2.7080503,3,,2.2580109,1,1,63.599037,48729.25,0,125208.25,0,26.0345892,1081.240572,777.578746,8,165
0.66666669,1,2,4.0206642,6,-0.39868104,1.9086946,1,1,63.599037,38167,0,127222,0,26.04088424,930.1800469,662.2181832,40,176
0.85714287,1.2857143,1.4285715,2.6986268,2,,1.3597692,1,1,89.850739,46403.305,0,124837.95,0,26.61636425,900.5970467,667.4705074,63,169
1,1,0,2.8332133,2,,-0.88582069,1,1,89.850739,79925.555,0,181386.56,0,27.25815411,667.4705074,824.9282539,7,163
0,0,0,4.388257,7,-0.39868104,0.64888436,1,1,89.850739,37667.168,0,134666.67,0,26.67464235,824.9282539,692.8847611,64,166
0,0,0,3.1172054,2,,2.2580109,1,1,89.850739,50138.957,0,123506.88,0,26.61636425,900.5970467,667.4705074,63,169
0.33333334,0.33333334,2.5555556,3.8904998,5.7777777,-0.39868098,1.5593785,1,1,89.850739,39909.832,0,122857.5,0,26.67464235,824.9282539,692.8847611,64,166
