"","FNID","ea_id","yearmon","floor_cement","floor_dirt_sand_dung","roof_iron","roof_natural","slope","ag_percent","dist_road","dist_popcenter","dist_agmkt","dist_headquater","elevation","FS_month","FS_year","rCSI","HDDS","FCS","dummy_terrain_rough","nutri_severe_constraint","nutri_moderate_constraint","lhz_growingdays","lhz_day1rain","tmean","lhz_raincytot","lhz_maxdaysnorain","lhz_floodmax","floodmax","raincytot","day1rain","maxdaysnorain","dist_km","date","maize_price","maize_mktthin","rice_price","rice_mktthin","lhz_maize_price","lhz_maize_mktthin","lhz_rice_price","lhz_rice_mktthin"
"4762","TZ2009L199","510212101001","Mar 2015",0.875,0.125,0.875,0.125,NA,NA,NA,NA,NA,NA,NA,3,2015,0.5,1.125,4.625,0,0,0,213,48,25.1562169558328,326.686407585128,164,0,0,1196.811298,1,177,92.3868155837739,NA,41850,0,179500,0,40523.4943923814,0,163584.290538934,0
"4763","TZ2009L199","510227101001","Aug 2015",0.375,0.625,0.625,0.375,NA,NA,NA,NA,NA,NA,NA,8,2015,3.75,1.375,9.4375,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.9799769820601,NA,59115,0,166562.7,0,54306.0503749619,0,153951.745882782,0
"4764","TZ2009L199","510228303301","Aug 2015",0.875,0.125,0.875,0,NA,NA,NA,NA,NA,NA,NA,8,2015,0,2.125,10.625,0,0,0,213,48,25.1562169558328,326.686407585128,164,0,0,1025.0078491,29,173,87.9080886894684,NA,59115,0,166562.7,0,54306.0503749619,0,153951.745882782,0
"4765","TZ2009L199","5108005","Jul 2011",0,1,0.125,0.875,2.05000004172325,34.875,27.7124998569489,35.4749999046326,58.8999991416931,35.4749999046326,429.125,7,2011,1.75,6.375,62.3125,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.8785476101467,NA,41413,0,111042,0,45323.9364507357,0,119828.541045525,0
"4766","TZ2009L199","5108005","May 2013",0.125,0.875,0.375,0.625,2.070778,36.5,27.6875,35.5125,58.825,306.9875,427.125,5,2013,9.75,2.25,15.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.8785476101467,NA,59480.8,0,128500,0,59465.6236545581,0,138028.929920031,0
"4767","TZ2009L199","5108005","Sep 2013",1,0,1,0,1.099602,100,48.6,67.5,67.7,355.5,174,9,2013,0,2,22,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.8785476101467,NA,53100,0,101666.75,0,55451.6024283213,0,121006.80009714,0
"4768","TZ2009L199","51101032","Dec 2012",0.5,0.5,0.5,0.5,3.7108385,30.5,1.6,25.05,100.95,147.25,45,12,2012,0,3,20,0,0,1,214,66,24.2246633447128,427.446647241764,146,0,0,1121.60029644,44,173,91.3025108134273,NA,80189.8133333333,0,182587.933333333,0,75757.9871110222,0.234560975059411,180344.87938248,0.234560975059411
"4769","TZ2009L199","51101032","Nov 2010",0.625,0.375,0.875,0.125,2.79999995231628,10,2.95000004768371,28.1875,104.71249961853,0.56250000745058,11.875,11,2010,10.375,6.625,69.8125,0,0,1,213,35,24.0051349672514,436.600018254066,151,0,0,1008.66565491,176,180,91.3025108134273,NA,31783.3333333333,0,94250,0,33439.0513990466,0.0219844108669921,90136.5544409094,0.0502531660290263
"4770","TZ2009L199","51101032","Nov 2012",0.714285714285714,0.285714285714286,0.857142857142857,0.142857142857143,2.793253,10,2.94285714285714,28.2142857142857,104.742857142857,143.2,13,11,2012,0,2.71428571428571,14.7142857142857,0,0,1,214,66,24.2246633447128,427.446647241764,146,0,0,1121.60029644,44,173,91.3025108134273,NA,74500.3333333333,0,175277.666666667,0,68728.1109099821,0.234560975059411,174377.096517355,0.234560975059411
"4771","TZ2009L199","51106016","Mar 2013",0.777777777777778,0.222222222222222,0.888888888888889,0.111111111111111,2.094702,13,6.74444444444444,30.5333333333333,106.822222222222,140.377777777778,9,3,2013,5.11111111111111,1.44444444444444,10.5555555555556,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.7555915490819,NA,76770.75,0,177499.8,0,76274.8065426476,0.00254332387349767,168624.300219729,0
"4772","TZ2009L199","51106016","Nov 2010",0.5,0.5,1,0,2.09999990463257,13,6.77499997615814,30.5500001907348,106.850002288819,5.18749994039536,10.75,11,2010,22.625,5.5,62.875,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.7555915490819,NA,31200,0,95000,0,33439.0513990466,0.0219844108669921,90136.5544409094,0.0502531660290263
"4773","TZ2009L199","51107052","Aug 2013",1,0,1,0,1.937558,4,0.5,3.3,74.2,173.5,17,8,2013,0,1,1.5,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.2255816864938,NA,47970,0,128703.7,0,51739.6858477307,0,122602.861724033,0
"4774","TZ2009L199","51107052","Jul 2013",0.5,0.5,0.5,0.5,3.2562045,40.5,0.25,27.15,103.05,145.3,52,7,2013,0,3,20.75,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.2255816864938,NA,50722.1666666667,0,135972.266666667,0,49914.3985285809,0,130142.829760682,0
"4775","TZ2009L199","51107052","Nov 2010",0.571428571428571,0.428571428571429,0.857142857142857,0,2.91428569384984,50.7142857142857,0.114285712795598,26.2285714830671,102.15714263916,4.52857143538339,58.5714285714286,11,2010,1.57142857142857,6.85714285714286,63.9285714285714,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.2255816864938,NA,31783.3333333333,0,94250,0,33439.0513990466,0.0219844108669921,90136.5544409094,0.0502531660290263
"4776","TZ2009L199","51107052","Nov 2012",0.5,0.5,0.75,0.25,3.5076315,42,0.175,27.7375,103.5875,144.7875,56.25,11,2012,0,2.625,22.6875,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.2255816864938,NA,74500.3333333333,0,175277.666666667,0,68728.1109099821,0.234560975059411,174377.096517355,0.234560975059411
"4777","TZ2009L199","51107052","Oct 2012",1,0,0,0,2.077241,96,0.1,15.9,92.2,155.6,46,10,2012,0,3,39.5,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.2255816864938,NA,64433.3333333333,0,172166.666666667,0,64783.5199979157,0.209586574581619,170413.35496942,0.209586574581619
"4778","TZ2009L199","51113041","Apr 2013",0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,2.950462,44,0.0666666666666667,37.9333333333333,113.8,134.9,36,4,2013,0,1.66666666666667,9.16666666666667,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.4266583501306,NA,73437.5,0,161562.5,0,68380.3717937794,0,151363.221163568,0
"4779","TZ2009L199","51113041","May 2013",0.2,0.8,0.8,0.2,0.7543396,34,0.08,37.26,113.1,135.52,12.6,5,2013,3,2,13.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.4266583501306,NA,59066.6,0,145083.4,0,59465.6236545581,0,138028.929920031,0
"4780","TZ2009L199","51113041","Nov 2010",0.25,0.75,0.75,0.25,1.97499999403954,38.5,0.050000000745058,37.5375008583069,113.400001525879,9.90000009536745,25.75,11,2010,4.5,5.5,60.625,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.4266583501306,NA,31200,0,95000,0,33439.0513990466,0.0219844108669921,90136.5544409094,0.0502531660290263
"4781","TZ2009L199","51201012","May 2011",0,1,0,1,0,0,7.69999980926514,20,95.4000015258789,7.69999980926514,30,5,2011,0,7,60.5,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.4272772279884,NA,36000,0,120000,0,41099.1712185598,0,125455.522275357,0
"4782","TZ2009L199","51201012","Oct 2010",0.555555555555556,0.444444444444444,0.444444444444444,0.555555555555556,2.66666664017572,3,6.62222210566203,19.2444445292155,95.1666658189562,7.04444440205892,33.4444444444444,10,2010,6.77777777777778,5.22222222222222,53.3333333333333,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.4272772279884,NA,31083,0,88846,0,31703.6954064996,0.0219844108669921,91450.2413377316,0.0502531660290263
"4783","TZ2009L199","51201012","Oct 2012",0.625,0.375,0.875,0,2.30019925,2.25,6.7125,18.925,94.7625,152.075,27.375,10,2012,1.375,2.875,25.375,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.4272772279884,NA,65500,0,179500,0,64783.5199979157,0.209586574581619,170413.35496942,0.209586574581619
"4784","TZ2009L199","51202051","Apr 2013",1,0,1,0,5.450816,84,1.2,6,82.7,165,58,4,2013,0,2,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.0985132623619,NA,79312.5,0,158750,0,68380.3717937794,0,151363.221163568,0
"4785","TZ2009L199","51202051","Mar 2013",0.375,0.625,0.5,0.5,3.020338,0,7.0375,19.7625,95.5875,151.2375,33,3,2013,4,2.5,17.9375,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.0985132623619,NA,82791.75,0,181041.8,0,76274.8065426476,0.00254332387349767,168624.300219729,0
