"","case_id","floor_cement","floor_dirt_sand_dung","roof_iron","roof_natural","slope","ag_percent","dist_road","dist_popcenter","dist_agmkt","dist_headquater","elevation","ea_id","reside","hh_a01","FS_month","FS_year","rCSI","HDDS","FCS","Month","dummy_terrain_rough","nutri_severe_constraint","nutri_moderate_constraint","yearmon","FNID"
"4333","1102028005071001",0,1,0,1,9.5,0,20.7000007629394,65,94.5999984741211,147.300003051758,1995,"11228005","rural","2",2,2011,6,6,50,"February",0,0,1,Feb 2011,"TZ2009L171"
"4334","1102028005071001",0,1,0,1,9.5,0,20.7000007629394,65,94.5999984741211,147.300003051758,1995,"11228005","rural","2",2,2011,6,6,50,"February",0,0,1,Feb 2011,"TZ2009L175"
"4335","1103011306000401",0,1,1,0,7.90000009536743,47,14.6999998092651,34.7000007629395,58.4000015258789,31.7999992370606,2144,"11311306","urban","3",2,2011,0,4,53.5,"February",0,0,0,Feb 2011,"TZ2009L161"
"4336","1103011306000401",0,1,1,0,7.90000009536743,47,14.6999998092651,34.7000007629395,58.4000015258789,31.7999992370606,2144,"11311306","urban","3",2,2011,0,4,53.5,"February",0,0,0,Feb 2011,"TZ2009L173"
"4337","1103011306000401",0,1,1,0,7.90000009536743,47,14.6999998092651,34.7000007629395,58.4000015258789,31.7999992370606,2144,"11311306","urban","3",2,2011,0,4,53.5,"February",0,0,0,Feb 2011,"TZ2009L174"
"4338","1103011306002901",0,1,1,0,7.90000009536743,43,15,35,58.5,31.5,2130,"11311306","urban","3",2,2011,0,7,71,"February",0,0,0,Feb 2011,"TZ2009L161"
"4339","1103011306002901",0,1,1,0,7.90000009536743,43,15,35,58.5,31.5,2130,"11311306","urban","3",2,2011,0,7,71,"February",0,0,0,Feb 2011,"TZ2009L173"
"4340","1103011306002901",0,1,1,0,7.90000009536743,43,15,35,58.5,31.5,2130,"11311306","urban","3",2,2011,0,7,71,"February",0,0,0,Feb 2011,"TZ2009L174"
"4341","1103011306003901",1,0,1,0,1.20000004768372,12,0.100000001490116,11.6999998092651,12.6999998092651,71.0999984741211,1807,"11311306","urban","8",2,2011,9,7,64,"February",0,0,0,Feb 2011,"TZ2009L161"
"4342","1103011306003901",1,0,1,0,1.20000004768372,12,0.100000001490116,11.6999998092651,12.6999998092651,71.0999984741211,1807,"11311306","urban","8",2,2011,9,7,64,"February",0,0,0,Feb 2011,"TZ2009L173"
"4343","1103011306003901",1,0,1,0,1.20000004768372,12,0.100000001490116,11.6999998092651,12.6999998092651,71.0999984741211,1807,"11311306","urban","8",2,2011,9,7,64,"February",0,0,0,Feb 2011,"TZ2009L174"
"4344","1103011306006501",0,1,0,1,7.90000009536743,43,14.6999998092651,34.7999992370605,58.4000015258789,31.7000007629394,2148,"11311306","urban","3",2,2011,0,6,62.5,"February",0,0,0,Feb 2011,"TZ2009L161"
"4345","1103011306006501",0,1,0,1,7.90000009536743,43,14.6999998092651,34.7999992370605,58.4000015258789,31.7000007629394,2148,"11311306","urban","3",2,2011,0,6,62.5,"February",0,0,0,Feb 2011,"TZ2009L173"
