"case_id","floor_cement","floor_dirt_sand_dung","roof_iron","roof_natural","roof_other","Radio","Television","Bicycle","Motorcycle","Car","cellphone","number_celphones","dist_road","dist_popcenter","dist_market","dist_admctr","ag_percent","slope","elevation","reside","ea_id","hh_a01","hh_a02","FS_month","FS_year","HDDS","FCS","Month","dummy_terrain_rough","nutri_severe_constraint","nutri_moderate_constraint","yearmon","asset_index","FNID"
1073002305,0,1,0,1,0,1,0,0,0,0,0,0,13.8378,37.8107,37.8107,37.8107,60,7.466384,1297,"Rural","10730023","MUBENDE","KALWANA",4,2012,2,19,"April",0,1,0,Apr 2012,-1.64128935290083,"UG2011L135"
1073002305,0,1,0,1,0,1,0,0,0,0,0,0,13.8378,37.8107,37.8107,37.8107,60,7.466384,1297,"Rural","10730023","MUBENDE","KALWANA",4,2012,2,19,"April",0,1,0,Apr 2012,-1.64128935290083,"UG2011L138"
1073002306,0,1,1,0,0,1,0,1,0,0,1,1,13.321,37.582,37.582,37.582,60,7.729695,1296,"Rural","10730023","MUBENDE","KALWANA",4,2012,6,48,"April",0,1,0,Apr 2012,0.391348269763048,"UG2011L135"
1073002306,0,1,1,0,0,1,0,1,0,0,1,1,13.321,37.582,37.582,37.582,60,7.729695,1296,"Rural","10730023","MUBENDE","KALWANA",4,2012,6,48,"April",0,1,0,Apr 2012,0.391348269763048,"UG2011L138"
1073002307,1,0,1,0,0,1,0,0,0,0,0,0,13.8155,37.0367,37.0367,37.0367,60,7.466384,1300,"Rural","10730023","MUBENDE","KALWANA",10,2012,5,75,"October",0,1,0,Oct 2012,1.74023603990117,"UG2011L135"
1073002307,1,0,1,0,0,1,0,0,0,0,0,0,13.8155,37.0367,37.0367,37.0367,60,7.466384,1300,"Rural","10730023","MUBENDE","KALWANA",10,2012,5,75,"October",0,1,0,Oct 2012,1.74023603990117,"UG2011L138"
1073002308,1,0,1,0,0,1,0,1,1,0,1,2,13.0722,37.5723,37.5723,37.5723,60,7.729695,1282,"Rural","10730023","MUBENDE","KALWANA",10,2012,6,64,"October",0,1,0,Oct 2012,3.01149414747597,"UG2011L135"
1073002308,1,0,1,0,0,1,0,1,1,0,1,2,13.0722,37.5723,37.5723,37.5723,60,7.729695,1282,"Rural","10730023","MUBENDE","KALWANA",10,2012,6,64,"October",0,1,0,Oct 2012,3.01149414747597,"UG2011L138"
1073002309,1,0,1,0,0,1,1,1,0,0,1,2,13.2383,37.5147,37.5147,37.5147,60,7.729695,1296,"Rural","10730023","MUBENDE","KALWANA",10,2012,7,50.5,"October",0,1,0,Oct 2012,3.46811570892324,"UG2011L135"
1073002309,1,0,1,0,0,1,1,1,0,0,1,2,13.2383,37.5147,37.5147,37.5147,60,7.729695,1296,"Rural","10730023","MUBENDE","KALWANA",10,2012,7,50.5,"October",0,1,0,Oct 2012,3.46811570892324,"UG2011L138"
