"","clust_L12raincytot","clust_L12day1rain","clust_L12maxdays","clust_floodmax","clust_cells_own","clust_price","clust_thinn","clust_roof","clust_hhsize","clust_hh_age","clust_hh_gender","clust_asset","clust_dist_road","clust_dist_admarc","clust_percent_ag","clust_nutri_reten_constrained","clust_elevation","clust_logFCS","clust_RCSI","clust_HDDS","ipc_lag1","ipc_lag12"
"74",740.73029,74,16,0,0.125,3.9068093,0.5,0.125,4.1875,37.1875,1.375,-0.32768622,9.2442856,1.3092858,0.52500004,1,672.14288,3.704314,5.3125,5.4375,1,NA
"75",804.29828,36,13,0,0.3125,3.5254779,0.5,0.25,4.1875,46.3125,1.375,-0.32768679,19.313749,6.5168748,0.60000002,0,803.125,3.7455125,10.5625,5,1,NA
"76",779.53137,36,23,0,0.4375,3.5231199,1,0.5,4.1875,43.9375,1.375,-0.077411279,33.125713,4.1057143,0.41250002,0,791.07141,3.4850519,5.375,4,1,NA
"77",766.83386,73,18,0,0.5,3.6276686,1,0.5,6,37.375,1.125,-0.32768509,52.880665,8.097333,0.41250002,0.0625,657,3.4516289,10,3.9333334,1,NA
"78",534.83606,74,16,0,0.1875,3.3975239,0.75,0.0625,4,41.25,1.0625,0.42313835,18.646875,13.275,0.60000002,0,185.25,3.4481368,10.6875,3.5625,NA,NA
"79",600.54694,74,16,0,0.0625,3.4911904,0.5,0.1875,5.375,42.6875,1.0625,-0.32768595,22.61875,5.7681251,0,0,180.8125,3.2967541,7.6875,3,NA,NA
"80",808.9046,36,21,0,0.25,3.6317799,0.75,0.1875,5,42.125,1.25,-0.70309722,22.18375,5.098125,0.60000002,0,73.75,3.2722914,12.9375,3.625,2,NA
"81",510.17261,35,24,0,0.4375,3.6573887,0.5,0.25,5.1875,39.375,1.1875,-0.32768652,0.301875,9.1906252,0.60000002,0,53.9375,3.6061001,15.3125,4.75,2,NA
"82",651.14545,75,13,0,0.6875,3.6686769,0.5,0.25,5.1875,44.5625,1.25,0.29800087,5.8575001,12.58875,0,0,624.5,3.6639082,3.9375,5.0625,1,NA
"83",652.42395,74,13,50.317421,0.25,3.7412348,0.75,0,3.8125,36.4375,1.375,-0.45282286,4.0656252,13.16375,0,0,493.5,3.3864024,8.75,4,2,NA
"84",708.69196,74,11,0,0.375,NA,1,0.0625,4.3125,39.1875,1.3125,-0.32768652,17.201334,4.5633335,0.33750001,1,845.06665,3.5404189,6.1875,4.9375,1,NA
"85",1019.0416,66,13,0,1.5625,3.6989286,0.46562502,1,3.5625,34.5,1.25,0.17286195,0.23933333,1.2640001,0,0,962.73334,4.18255,1.625,6.5,1,NA
"86",905.20782,74,18,0,3.0625,3.7208624,0.75,0.875,4.9375,40.875,1.375,0.17286222,0.91250002,3.5131249,0.60000002,0,834.5625,4.2349601,2.3125,6.75,1,NA
"87",996.26324,70,13,0,1.375,3.7208624,0.75,0.875,3.8125,47.125,1.25,0.29799971,0.51437497,2.8125,0.1125,0,930.5625,4.0369554,3.3125,5.9375,1,NA
"88",990.90204,50,18,0,2.25,3.7208624,0.75,0.9375,5.0625,34.875,1.375,0.42313665,1.641875,1.124375,0.45000002,0,885.6875,4.2844186,0.875,6.6875,1,NA
"89",735.00287,79,10,0,1.3125,3.6888795,0.75,0.75,4.8125,35.125,1.0625,0.54827327,0.76437497,7.8293753,0.037500001,0,982.8125,4.0324888,8.9375,5.9375,1,NA
"90",765.26691,80,10,0,0.875,3.6888795,0.75,0.8125,5.375,35.125,1.0625,0.17286168,1.864,3.9773333,0.075000003,0,1129.8667,3.65784,14.1875,5.0625,1,NA
"91",1008.8805,39,31,0,0.375,3.5166073,0.40000001,0.125,4.75,43.25,1.1875,-0.32768565,9.2753334,4.2413335,0.5625,1,1271.3334,3.6628113,2.4375,5.0625,1,NA
"92",1260.3062,39,18,0,0.0625,2.9724636,0.40000001,0.0625,4.625,35.375,1.125,-0.32768622,10.994375,7.0337501,0,0,1229.8125,3.6166155,1.5625,5.1875,1,NA
"93",1269.8633,42,20,0,0.375,3.5261314,0.68437499,0.125,5.0625,43.625,1.4375,-0.32768565,0.705625,3.629375,0.60000002,0,484.5625,3.7167592,2.0625,5.1875,1,NA
"94",1237.6841,39,20,0,0.5,3.503453,0.40000001,0.8125,3.625,37.125,1.1875,0.42313692,12.260625,9.1593752,0.1125,1,592.5625,3.9779768,6.3125,5.5625,1,NA
"95",1344.4141,39,21,0,0.8125,3.3904734,0.40000001,0.25,7.1875,48.3125,1.375,0.17286253,0.520625,8.8793745,0.1125,0.125,546.8125,4.0904088,5.5625,5.625,1,NA
"96",975.3454,42,20,0,1,3.1780539,0.40000001,0.1875,5.0625,41.4375,1.1875,0.42313662,4.4438462,19.584616,0.60000002,0.125,1073.6923,4.0289674,5.875,5.75,1,NA
"97",818.60956,39,20,0,1.3125,3.7314599,0.40000001,0.6875,4.0625,34.1875,1.1875,0.42313746,0.21461539,1.4215385,0.60000002,0,1090.2307,4.2181172,4.3125,6.375,1,NA
"98",1014.7886,36,17,0,0.75,3.8797064,0.60000002,0.25,4.75,49.4375,1.25,0.047725342,9.2166662,5.2906666,0.60000002,1,1413.7333,3.7554007,2.5625,4.5625,1,NA
