"","case_id","floor_cement","floor_dirt_sand_dung","roof_iron","roof_natural","roof_other","Radio","Television","Bicycle","Motorcycle","Car","cellphone","number_celphones","lat_modified","lon_modified","dist_road","dist_popcenter","dist_market","dist_admctr","ag_percent","slope","elevation","terrain_rough","nutri_avail","nutri_rentention","region","reside","ea_id","hh_a01","hh_a02","FS_month","FS_year","survey_round","HDDS","FCS","country","Month"
"50","1021001109",1,0,1,0,0,1,1,1,0,0,1,5,0.28927287,32.615974,2.3165,5.7155,5.7155,5.7155,42,4.383581,1150,"Mid-altitude Plateaus","Severe Constraint","Moderate Constraint","Central","Urban",10210011,"KAMPALA","MAKINDYE DIVISION",3,2012,"Uganda NPS 2011/2012",6,60,"Uganda","March"
"51","102100110901",1,0,1,0,0,1,1,1,0,1,1,3,0.23867941,32.620823,6.6248,10.7568,10.7568,10.7568,37,5.363294,1169,"Mid-altitude Plateaus","Water","Water","Central","Urban",10210011,"KAMPALA","MAKINDYE DIVISION",10,2012,"Uganda NPS 2011/2012",7,70,"Uganda","October"
"52","102100110904",1,0,1,0,0,1,1,0,0,0,0,0,0.28927287,32.615974,2.0187,6.1714,6.1714,6.1714,65,9.593676,1138,"Mid-altitude Plateaus","Severe Constraint","Moderate Constraint","Central","Urban",10210011,"KAMPALA","MAKINDYE DIVISION",10,2012,"Uganda NPS 2011/2012",6,61,"Uganda","October"
"53","1021001110",1,0,1,0,0,1,0,0,0,0,1,1,0.28927287,32.615974,2.2811,5.7306,5.7306,5.7306,42,4.383581,1150,"Mid-altitude Plateaus","Severe Constraint","Moderate Constraint","Central","Urban",10210011,"KAMPALA","MAKINDYE DIVISION",4,2012,"Uganda NPS 2011/2012",4,27.5,"Uganda","April"
"54","1021001205",0,1,1,0,0,0,0,0,0,0,1,2,0.31279653,32.611473,3.4726,3.9207,3.9207,3.9207,10,7.975548,1189,"Mid-altitude Plateaus","Severe Constraint","Moderate Constraint","Central","Urban",10210012,"KAMPALA","MAKINDYE DIVISION",4,2012,"Uganda NPS 2011/2012",6,42.5,"Uganda","April"
"55","1021001206",1,0,1,0,0,1,0,0,0,0,1,2,0.31279653,32.611473,3.3947,3.8514,3.8514,3.8514,10,7.975548,1184,"Mid-altitude Plateaus","Severe Constraint","Moderate Constraint","Central","Urban",10210012,"KAMPALA","MAKINDYE DIVISION",4,2012,"Uganda NPS 2011/2012",6,54,"Uganda","April"
"56","1021001208",1,0,1,0,0,1,0,0,0,0,1,3,0.31279653,32.611473,3.4408,3.8884,3.8884,3.8884,10,7.975548,1189,"Mid-altitude Plateaus","Severe Constraint","Moderate Constraint","Central","Urban",10210012,"KAMPALA","MAKINDYE DIVISION",4,2012,"Uganda NPS 2011/2012",6,67,"Uganda","April"
"57","1021001210",1,0,1,0,0,1,1,0,0,0,1,2,0.31279653,32.611473,3.4048,3.8451,3.8451,3.8451,10,7.975548,1184,"Mid-altitude Plateaus","Severe Constraint","Moderate Constraint","Central","Urban",10210012,"KAMPALA","MAKINDYE DIVISION",4,2012,"Uganda NPS 2011/2012",7,103.5,"Uganda","April"
"58","1021001211",1,0,1,0,0,0,1,0,0,0,1,2,0.31279653,32.611473,3.4068,3.8885,3.8885,3.8885,10,7.975548,1184,"Mid-altitude Plateaus","Severe Constraint","Moderate Constraint","Central","Urban",10210012,"KAMPALA","MAKINDYE DIVISION",11,2012,"Uganda NPS 2011/2012",4,26.5,"Uganda","November"
"59","1021001301",0,0,1,0,0,1,1,0,0,1,0,0,0.30322111,32.619747,3.0732,3.35,3.35,3.35,6,7.659469,1177,"Mid-altitude Plateaus","Severe Constraint","Moderate Constraint","Central","Urban",10210013,"KAMPALA","MAKINDYE DIVISION",11,2011,"Uganda NPS 2011/2012",7,83,"Uganda","November"
"60","1021001302",1,0,1,0,0,1,0,0,0,0,1,1,0.30322111,32.619747,3.2043,3.3286,3.3286,3.3286,4,7.659469,1171,"Mid-altitude Plateaus","Severe Constraint","Moderate Constraint","Central","Urban",10210013,"KAMPALA","MAKINDYE DIVISION",6,2012,"Uganda NPS 2011/2012",1,3,"Uganda","June"
"61","1021001304",0,1,1,0,0,1,0,0,1,0,1,2,0.30322111,32.619747,2.087,5.6961,8.6556,20.5217,32,2.688454,1166,"Mid-altitude Plateaus","Severe Constraint","Moderate Constraint","Central","Urban",10210013,"KAMPALA","MAKINDYE DIVISION",6,2012,"Uganda NPS 2011/2012",6,66,"Uganda","June"
