case_id,cellphone,number_celphones,slope,ag_percent,elevation,terrain_rough,ea_id,lat_modified,lon_modified,reside,region,hh_a01,ward,FS_month,FS_year,survey_round,rCSI,HDDS,FCS,country,asset_index,distance_index,housing_index,nutri_reten_constrained,nutri_avail_constrained
0104031001074502,0,0,4.199999809265137,31,1082,High-altitude plains,1431001,-6.375259876251221,35.64825057983398,rural,1,5,231,1,2011,Tanzania NPS 2010/2011,4,3,49,Tanzania,-.39868096,-.52743542,2.2580109,1,1
0104031001112801,0,0,1.399999976158142,0,1048,High-altitude plains,1431001,-6.375259876251221,35.64825057983398,rural,1,4,311,1,2011,Tanzania NPS 2010/2011,24,4,30,Tanzania,-.39868096,-.31500489,2.2580109,1,1
0104031001112804,0,0,2.700000047683716,0,1056,High-altitude plains,1431001,-6.375259876251221,35.64825057983398,rural,1,4,311,1,2011,Tanzania NPS 2010/2011,4,4,49,Tanzania,-.39868096,-.33668202,2.2580109,1,1
0104038003034701,0,0,1,0,835,High-altitude plains,1438003,-5.953279972076416,35.24438095092773,rural,1,4,381,7,2011,Tanzania NPS 2010/2011,0,4,46.5,Tanzania,-.39868096,-.60112488,2.2580109,1,1
0104038003039601,0,0,.8999999761581421,0,835,High-altitude plains,1438003,-5.953279972076416,35.24438095092773,rural,1,4,381,7,2011,Tanzania NPS 2010/2011,0,5,58,Tanzania,-.39868096,-.54043049,2.2580109,1,1
0104038003046001,0,0,.8999999761581421,0,834,High-altitude plains,1438003,-5.953279972076416,35.24438095092773,rural,1,4,381,7,2011,Tanzania NPS 2010/2011,0,7,83.5,Tanzania,-.39868104,-.51441866,2.2580109,1,1
0104038003069301,0,0,.8999999761581421,0,835,High-altitude plains,1438003,-5.953279972076416,35.24438095092773,rural,1,4,381,7,2011,Tanzania NPS 2010/2011,8,3,25,Tanzania,-.39868096,-.54043049,2.2580109,1,1
0104038003076801,1,1,.800000011920929,0,830,High-altitude plains,1438003,-5.953279972076416,35.24438095092773,rural,1,4,381,7,2011,Tanzania NPS 2010/2011,0,6,72.5,Tanzania,-.39868104,-.44071862,2.2580109,1,1
0104038003076803,0,0,1.100000023841858,0,830,High-altitude plains,1438003,-5.953279972076416,35.24438095092773,rural,1,4,381,7,2011,Tanzania NPS 2010/2011,8,6,68,Tanzania,-.39868104,-.47973612,2.2580109,1,1
0104038003085401,1,1,1.299999952316284,0,831,High-altitude plains,1438003,-5.953279972076416,35.24438095092773,rural,1,4,381,7,2011,Tanzania NPS 2010/2011,0,5,60.5,Tanzania,-.39868104,-.4363828,2.2580109,1,1
0104038003105701,0,0,1,0,829,High-altitude plains,1438003,-5.953279972076416,35.24438095092773,rural,1,4,381,7,2011,Tanzania NPS 2010/2011,0,5,70,Tanzania,-.39868098,-.44071898,2.2580109,1,1
0104038003110801,0,0,1,0,828,High-altitude plains,1438003,-5.953279972076416,35.24438095092773,rural,1,4,381,7,2011,Tanzania NPS 2010/2011,2,5,61,Tanzania,-.39868096,-.40603662,2.2580109,1,1
0105009003011401,0,0,1.600000023841858,0,1067,High-altitude plains,1509003,-5.993730068206787,35.85197830200195,rural,1,5,91,12,2010,Tanzania NPS 2010/2011,0,6,78.5,Tanzania,-.39868098,-.20228682,-.88583499,1,1
0105009003034701,0,0,2.299999952316284,0,1054,High-altitude plains,1509003,-5.993730068206787,35.85197830200195,rural,1,5,91,12,2010,Tanzania NPS 2010/2011,9,6,64,Tanzania,-.39868098,-.14159216,-.88583499,1,1
0105009003039601,0,0,1.299999952316284,0,1050,High-altitude plains,1509003,-5.993730068206787,35.85197830200195,rural,1,5,91,12,2010,Tanzania NPS 2010/2011,25,5,60.5,Tanzania,-.39868096,-.11991554,2.2580109,1,1
0105009003046001,1,1,1.600000023841858,0,1067,High-altitude plains,1509003,-5.993730068206787,35.85197830200195,rural,1,5,91,12,2010,Tanzania NPS 2010/2011,14,6,57,Tanzania,-.39868104,-.1979515,.64889467,1,1
0105009003059901,0,0,.800000011920929,6,1046,High-altitude plains,1509003,-5.993730068206787,35.85197830200195,rural,1,5,91,12,2010,Tanzania NPS 2010/2011,25,5,58.5,Tanzania,-.39868096,-.18928213,2.2580109,1,1
0105009003069301,1,2,2.200000047683716,0,1059,High-altitude plains,1509003,-5.993730068206787,35.85197830200195,rural,1,5,91,12,2010,Tanzania NPS 2010/2011,0,5,74.5,Tanzania,-.39868104,-.25431135,-.88583499,1,1
0105009003076801,0,0,1.899999976158142,0,1058,High-altitude plains,1509003,-5.993730068206787,35.85197830200195,rural,1,5,91,12,2010,Tanzania NPS 2010/2011,5,7,70,Tanzania,-.39868104,-.23697008,-.88583499,1,1
0105009003105701,0,0,1.700000047683716,0,1075,High-altitude plains,1509003,-5.993730068206787,35.85197830200195,rural,1,5,91,12,2010,Tanzania NPS 2010/2011,0,6,56.5,Tanzania,-.39868096,-.21095732,2.2580109,1,1
0105010004015101,0,0,1.600000023841858,6,1051,High-altitude plains,1510004,-5.947810173034668,35.91746139526367,rural,1,5,101,4,2011,Tanzania NPS 2010/2011,20,3,49,Tanzania,-.39868096,.062167894,2.2580109,1,1
0105010004015105,0,0,1.600000023841858,6,1052,High-altitude plains,1510004,-5.947810173034668,35.91746139526367,rural,1,5,101,4,2011,Tanzania NPS 2010/2011,17,3,49,Tanzania,-.39868096,.070838571,2.2580109,1,1
0105010004016601,0,0,1.100000023841858,0,1048,High-altitude plains,1510004,-5.947810173034668,35.91746139526367,rural,1,5,101,4,2011,Tanzania NPS 2010/2011,50,4,59.5,Tanzania,-.39868096,.14887415,2.2580109,1,1
0105010004027201,0,0,1.100000023841858,0,1050,High-altitude plains,1510004,-5.947810173034668,35.91746139526367,rural,1,5,101,4,2011,Tanzania NPS 2010/2011,27,5,71.5,Tanzania,-.39868096,.16188025,2.2580109,1,1
0105010004033501,0,0,2.5,6,1055,High-altitude plains,1510004,-5.947810173034668,35.91746139526367,rural,1,5,101,4,2011,Tanzania NPS 2010/2011,15,4,26,Tanzania,-.39868096,.11419179,2.2580109,1,1
0105010004040301,0,0,2.5,8,1051,High-altitude plains,1510004,-5.947810173034668,35.91746139526367,rural,1,5,101,4,2011,Tanzania NPS 2010/2011,19,5,52,Tanzania,-.39868104,.10552105,2.2580109,1,1
0105010004048001,0,0,2.5,8,1049,High-altitude plains,1510004,-5.947810173034668,35.91746139526367,rural,1,5,101,4,2011,Tanzania NPS 2010/2011,0,5,50,Tanzania,-.39868104,.083844431,2.2580109,1,1
0105010004051701,0,0,1,6,1043,High-altitude plains,1510004,-5.947810173034668,35.91746139526367,rural,1,5,101,4,2011,Tanzania NPS 2010/2011,0,4,69,Tanzania,-.39868096,.075173818,2.2580109,1,1
0105010004069201,0,0,1.100000023841858,35,1072,High-altitude plains,1510004,-5.947810173034668,35.91746139526367,rural,1,5,101,4,2011,Tanzania NPS 2010/2011,4,3,24,Tanzania,-.39868096,-.0028609056,2.2580109,1,1
0105029002016101,0,0,2.599999904632568,0,982,High-altitude plains,1529002,-6.058629989624023,35.52204132080078,rural,1,4,401,12,2010,Tanzania NPS 2010/2011,19,5,80,Tanzania,-.39868096,-.70084393,2.2580109,1,1
0105029002022401,0,0,2.900000095367432,6,1003,Mid-altitude plateaus,1529002,-6.058629989624023,35.52204132080078,rural,1,5,291,12,2010,Tanzania NPS 2010/2011,0,5,63,Tanzania,-.39868096,-.7138502,2.2580109,1,1
0105029002032201,0,0,1.5,0,963,High-altitude plains,1529002,-6.058629989624023,35.52204132080078,rural,1,4,411,12,2010,Tanzania NPS 2010/2011,11,5,59,Tanzania,-.39868104,-.5361045,2.2580109,1,1
0105029002055701,0,0,4.599999904632568,0,1017,Mid-altitude plateaus,1529002,-6.058629989624023,35.52204132080078,rural,1,4,411,12,2010,Tanzania NPS 2010/2011,19,5,49,Tanzania,-.39868096,-.55778205,2.2580109,1,1
0105029002064901,0,0,2.299999952316284,0,965,High-altitude plains,1529002,-6.058629989624023,35.52204132080078,rural,1,4,411,12,2010,Tanzania NPS 2010/2011,0,4,32,Tanzania,-.39868096,-.55778086,2.2580109,1,1
