year,month,market,maize_price,missing
2008,6,MWANSAMBO,30.366666666666664,0
2008,6,MWANZA,41.48666666666666,0
2008,6,MZIMBA,31.55333333333333,0
2008,6,MZUZU,37.95,0
2008,6,NAMBUMA,35.0,0
2008,6,NAMWERA,36.2475,0
2008,6,NANJIRI,36.84,0
2008,6,NCHALO,41.055,0
2008,6,NENO,40.0,1
2008,6,NGABU,44.72,0
2008,6,NKHAMENYA,29.0,0
2008,6,NKHATABAY,37.47666666666667,0
2008,6,NKHOMA,40.0,0
2008,6,NKHOTAKOTA,40.2,0
2008,6,NSANJE,42.586666666666666,0
2008,6,NSUNDWE,38.195,0
2008,6,NTAJA,37.0,0
2008,6,NTCHEU,42.0,0
2008,6,NTCHISI,48.2825,0
2008,6,NTHALIRE,46.20333333333334,1
2008,6,NTONDA,32.5,0
2008,6,PHALOMBE,37.44,0
2008,6,RUMPHI,40.73,0
2008,6,SALIMA,37.0,0
2008,6,SANTHE,40.0,0
2008,6,SHARPEVALEY,42.0,1
2008,6,THETE,30.666666666666668,0
2008,6,THONDWE,42.4,0
2008,6,TSANGANO,42.0,1
2008,6,ZOMBA,34.7,0
2008,7,BALAKA,45.800000000000004,0
2008,7,BANGULA,59.59400000000001,0
2008,7,BEMBEKE,50.495000000000005,0
2008,7,BOWE,43.0,0
2008,7,BVUMBWE,57.0,0
2008,7,CHAMAMA,59.166,1
2008,7,CHATOLOMA,38.25,0
2008,7,CHIKWAWA,53.056000000000004,0
2008,7,CHILINGA,59.166,1
2008,7,CHILUMBA,43.333333333333336,0
2008,7,CHIMBIYA,51.6,0
2008,7,CHINTHECHE,50.470000000000006,0
2008,7,CHIRADZULU,51.089999999999996,0
2008,7,CHITIPA,39.024,0
2008,7,DOWA,55.0,0
2008,7,DWANGWA,52.577999999999996,0
2008,7,EMBANGWENI,41.25,1
2008,7,HEWE,39.432,0
2008,7,JALI,46.757999999999996,0
2008,7,JENDA,41.25,0
2008,7,KARONGA,56.612,0
2008,7,KASIYA,53.60999999999999,0
2008,7,KASUNGU,45.614999999999995,0
2008,7,LILONGWE,52.8,0
2008,7,LIMBE,51.302,0
2008,7,LIWONDE,47.0,0
2008,7,LIZULU,44.2675,0
2008,7,LUCHENZA,53.0,0
2008,7,LUNZU,55.2,0
2008,7,MADISI,48.75,0
2008,7,MALOMO,56.4,0
2008,7,MANGOCHI,47.92,0
2008,7,MAYAKA,51.089999999999996,1
2008,7,MCHINJI,52.473333333333336,0
2008,7,MIGOWI,59.166,1
2008,7,MISUKU,18.0325,0
2008,7,MITUNDU,49.019999999999996,0
2008,7,MKANDA,38.333333333333336,0
2008,7,MONKEY BAY,59.38999999999999,0
2008,7,MPAMBA,44.513999999999996,0
2008,7,MPONELA,49.652,0
2008,7,MTAKATAKA,56.0,0
2008,7,MULOZA,59.166,0
2008,7,MWANSAMBO,45.96333333333333,0
2008,7,MWANZA,53.62,0
2008,7,MZIMBA,47.9125,0
2008,7,MZUZU,46.48800000000001,0
2008,7,NAMBUMA,42.488,0
2008,7,NAMWERA,42.185,0
2008,7,NANJIRI,47.252,0
2008,7,NCHALO,54.66399999999999,0
2008,7,NENO,59.166,1
