"y3_hhid","FCS","HDDS","rCSI","rural","FS_month","FS_year","clusterid","region2","region3","region4","region5","region6","region7","region8","region9","region10","region11","region12","region13","region14","region15","region16","region17","region18","region19","region20","region21","region51","region52","region53","region54","region55","dist_road","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","slope","head_age","female_head","asset_index","Cellphone","num_cell","floor_dirt_sand_dung","roof_not_natural","roof_iron"
"0071-001",21,2,21,1,7,2013,1438003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,58.8,0,0,1,0,0,0.8552322,43,0,-0.974219159450205,0,0,1,0,0
"0072-001",67,6,0,1,7,2013,1438003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,59.5,0,0,1,0,0,0.8377776,58,0,-0.471759940995738,0,0,1,0,0
"0072-003",42,5,0,1,7,2013,1438003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,59.5,0,0,1,0,0,0.8377776,29,0,-0.471759940995738,0,0,1,1,1
"0073-001",35.5,4,0,1,7,2013,1438003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,60,0,0,1,0,0,1.082146,92,1,-0.974219159450205,0,0,1,0,0
"0073-002",26,4,4,1,7,2013,1438003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,58.9,0,0,1,0,0,0.8203232,37,1,-0.455868827063573,0,0,1,0,0
"0074-001",48.5,6,0,1,7,2013,1438003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,61.3,0,0,1,0,0,1.326528,51,0,-0.974219159450205,1,1,1,0,0
"0075-001",55.5,4,12,1,7,2013,1438003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,58.2,0,0,1,0,0,1.029781,54,0,-0.99011027338237,1,3,1,0,0
"0075-003",82.5,6,0,1,7,2013,1438003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,55.6,0,0,1,0,0,1.117057,108,0,-0.974219159450205,0,0,1,0,0
"0076-001",26,3,0,1,7,2013,1438003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,58.3,0,0,1,0,0,1.029781,44,1,-0.974219159450205,0,0,1,0,0
"0076-003",40,5,0,1,7,2013,1438003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,56.3,0,0,1,0,0,1.012326,25,0,-0.974219159450205,0,0,1,0,0
"0077-001",43,5,10,1,12,2012,1509003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,25.8,0,0,0,0,0,1.640757,50,1,-0.99011027338237,1,1,0,1,1
"0078-001",42,4,7,1,12,2012,1509003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,27.7,0,0,0,0,0,2.251855,35,0,-0.99011027338237,0,0,1,1,1
"0079-001",41,5,42,1,12,2012,1509003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2,28.2,0,0,0,0,0,1.309072,32,1,-0.974219159450205,0,0,1,0,0
"0080-001",27.5,5,0,1,12,2012,1509003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4,26,0,0,0,0,0,1.640757,31,0,-0.455868827063573,1,2,1,1,1
"0081-001",24.5,3,22,1,12,2012,1509003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,21.6,8,0,1,0,0,0.8028687,72,0,-0.974219159450205,1,1,1,0,0
"0082-001",60,7,0,1,12,2012,1509003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,22.3,0,0,1,0,0,2.164546,58,0,-0.471759940995738,1,2,1,1,1
"0083-001",34.5,5,0,1,12,2012,1509003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,22.7,0,0,1,0,0,1.86772,34,0,-0.471759940995738,0,0,1,1,1
"0084-001",21,2,36,1,12,2012,1509003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1,26.1,0,0,0,0,0,1.675673,81,0,-0.974219159450205,0,0,1,0,0
"0085-001",28,5,35,1,4,2013,1510004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,31.8,6,0,0,0,0,1.553468,63,0,-0.974219159450205,0,0,1,0,0
"0086-001",31.5,4,35,1,4,2013,1510004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6,32,6,0,0,0,0,1.553468,27,0,-0.974219159450205,0,0,1,0,0
