"HHID","case_id","FCS","HDDS","rCSI","ea_id","region_north","region_central","rural","FS_month","FS_year","lat_modified","lon_modified","dist_road","dist_admarc","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","head_age","female_head","floor_dirt_sand_dung","cell_phone","number_celphones","roof_not_natural","roof_iron","Refrigerator","Radio","Television","Bicycle","Motorcycle","Car"
"bb6d7ed8c047424788042848ea5e75c5","313038240136",72,5,4,"31303824",0,0,1,4,2017,-15.400676,34.777934,5,2,45,35,0,0,0,0,64,0,0,1,1,1,1,0,1,0,1,1,0
"bb6f4ba5b2464e2fba00c8f1a7579625","107332340097",47,4,8,"10733234",1,0,0,1,2017,-11.415627,34.018966,2,19,4,12,1,0,0,0,17,0,0,1,2,1,1,0,0,0,0,0,0
"bb700e3b8e0b47f193a909b7f46858a7","306026490024",30.5,3,14,"30602649",0,0,1,9,2016,-15.451516,34.464556,11,11,70,35,0,1,0,0,49,0,1,0,0,0,0,0,0,0,1,0,0
"bb715e77e6554cacbcc0fd1091328ad7","205093710263",78,6,0,"20509371",0,1,1,7,2016,-13.599289,34.482196,15,13,20,14,0,0,0,0,27,0,1,1,1,0,0,0,1,1,1,0,0
"bb729ada22564568a7ea1d2e26655e69","312017880097",63,5,5,"31201788",0,0,1,2,2017,-15.028036,35.152533,4,4,7,31,0,0,0,0,57,0,0,1,1,1,1,1,0,1,1,0,0
"bb7dc69050a249cd9b2c8680d0ce6b0e","104081910141",37.5,3,0,"10408191",1,0,1,6,2016,-10.754226,33.537282,6,3,92,57,0,1,0,0,32,1,1,1,1,0,0,0,0,0,0,0,0
"bb7f09cf6ad945ca8c323cc230464d7d","305026210059",44.5,4,0,"30502621",0,0,1,6,2016,-15.575781,35.068538,3,3,28,45,0,0,0,0,24,1,1,0,0,0,0,0,0,0,0,0,0
"bb8dfd0477054610a54d19c9af3431c7","102051440081",44.5,6,4,"10205144",1,0,1,3,2017,-10.399822,34.10239,10,7,53,53,0,0,0,0,29,0,1,0,0,0,0,0,1,0,1,0,0
"bb8ea032405d4c06a6ed58afc9786c7f","101011070057",33,5,0,"10101107",1,0,1,4,2017,-9.821687,33.400393,4,13,61,16,0,1,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0
"bb929e90a21349c289adab38e4902aa1","311067730117",33,4,34,"31106773",0,0,1,10,2016,-16.5564,35.033896,1,4,46,60,0,0,0,0,76,1,1,0,0,0,0,0,0,0,0,0,0
"bb98e4d9346345619e46b2f8ea06c350","308016870015",24,3,0,"30801687",0,0,1,3,2017,-16.043878,35.6054,4,25,70,0,0,0,0,0,29,1,1,0,0,1,1,0,0,0,0,0,0
"bb9f7c2fbe344dfb8250c0d23ef713f9","313018070090",90,6,0,"31301807",0,0,1,8,2016,-15.215737,34.602905,31,5,48,35,1,0,0,0,37,0,0,1,2,1,1,0,1,1,1,0,0
"bbaf7229ba8b4773bb25134554c2008c","302035490018",26.5,3,8,"30203549",0,0,1,3,2017,-14.790041,35.6293,43,7,48,18,0,1,0,0,77,1,1,0,0,0,0,0,0,0,0,0,0
"bbafa80c312e44f2a6d4600fa9c9fefc","206073970038",26,4,13,"20607397",0,1,1,6,2016,-13.835717,33.897107,3,7,18,14,0,0,0,0,51,0,1,0,0,0,0,0,0,0,0,0,0
"bbb8035e52c345469097f5b4fe2f2907","313068270011",57.5,5,0,"31306827",0,0,1,12,2016,-15.282556,34.70229,21,14,43,4,1,0,0,0,23,0,1,1,1,0,0,0,0,0,0,0,0
"bbbdc89bba83447db527cbd7fb142970","103011490070",70,5,0,"10301149",1,0,1,1,2017,-11.671303,34.026398,12,11,20,27,0,0,0,0,55,0,1,1,1,0,0,0,0,0,0,0,0
"bbc481da246a4b0db4f53769065ae6a4","313038230143",42.5,4,28,"31303823",0,0,1,9,2016,-15.427582,34.825967,1,8,42,43,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0
"bbce7aaaa41040b581968648428c877c","301075370193",38,5,33,"30107537",0,0,1,3,2017,-14.213324,35.407836,17,21,33,2,0,1,0,0,29,1,1,0,0,0,0,0,0,0,0,0,0
"bbd0d47ad6aa4e5e816ec8f4d6004a44","304066123098",33,4,2,"30406612",0,0,1,7,2016,-15.615004,35.226737,7,4,28,35,0,0,0,0,43,1,1,0,0,1,1,0,1,0,0,0,0
