"y2_hhid","FCS","HDDS","rCSI","lat_modified","lon_modified","dist_road","dist_admarc","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","head_age","female_head","head_educated","floor_dirt_sand_dung","cell_phone","number_celphones","roof_not_natural","roof_iron","asset_index"
"0091-001",21,3,14,-9.74823,33.5035,10,8,48,0,0,0,0,0,26,0,0,1,0,0,0,0,-0.937514550464697
"0092-001",28,5,0,-9.9716,33.3739,2,4,61,0,0,1,0,0,44,0,0,1,0,0,0,0,-0.937514550464697
"0093-001",33,4,0,-9.74823,33.5035,11,7,49,10,0,0,0,0,45,1,0,1,0,0,0,0,-0.937514550464697
"0094-001",63,7,0,-9.9716,33.3739,1,3,61,0,0,1,0,0,27,0,1,0,1,1,0,0,-0.937514550464697
"0095-001",39.5,6,0,-9.74823,33.5035,13,8,48,0,0,0,0,0,72,0,0,1,0,0,0,0,-0.937514550464697
"0096-001",42,6,0,-9.9716,33.3739,1,4,59,0,0,1,0,0,39,0,0,1,1,1,0,0,-0.0541713049401865
"0097-001",43,4,0,-10.1988,33.6635,11,3,40,14,0,0,0,0,33,0,0,1,0,0,0,0,-0.937514550464697
"0098-001",81,7,0,-9.84483,33.8737,1,6,13,51,0,0,0,0,37,0,1,0,1,1,1,1,-0.0541713049401865
"0099-001",35.5,7,2,-10.1988,33.6635,11,4,41,35,0,0,0,0,47,0,0,1,0,0,0,0,-0.937514550464697
"0100-001",58,8,0,-9.84483,33.8737,2,5,14,45,0,0,0,0,45,0,0,1,1,1,0,0,-0.0541713049401865
"0100-003",61.5,8,0,-9.84483,33.8737,2,6,13,49,0,0,0,0,25,0,0,1,0,0,0,0,-0.345495163361213
"0101-001",42,4,0,-10.1988,33.6635,12,3,40,16,0,0,0,0,27,0,0,1,0,0,0,0,-0.937514550464697
"0102-001",69.5,7,0,-9.84483,33.8737,2,5,14,51,0,0,0,0,40,0,1,0,1,1,1,1,-0.0541713049401865
"0103-001",46.5,6,0,-10.1988,33.6635,11,4,41,39,0,0,0,0,42,0,0,1,0,0,0,0,-0.937514550464697
"0103-003",42,4,0,-10.259059,33.701109,11,8,43,55,0,0,0,0,23,0,0,1,0,0,0,0,-0.937514550464697
"0104-001",97,8,0,-9.84483,33.8737,0,6,13,47,0,0,0,0,50,0,1,0,1,2,1,1,1.45980992431051
"0105-001",30,5,4,-10.1988,33.6635,11,3,40,14,0,0,0,0,70,0,0,1,0,0,0,0,-0.345495163361213
"0106-001",31,6,0,-9.84483,33.8737,1,5,14,49,0,0,0,0,25,0,0,1,0,0,0,0,-0.64619069204367
"0107-001",45,5,11,-10.1988,33.6635,12,3,40,14,0,0,0,0,75,1,0,1,0,0,1,1,-0.937514550464697
"0108-001",29.5,6,7,-9.84483,33.8737,2,5,14,49,0,0,0,0,32,0,0,1,0,0,0,0,-0.64619069204367
"0109-001",53,7,6,-10.1988,33.6635,11,3,40,33,0,0,0,0,35,0,0,1,0,0,0,0,-0.345495163361213
"0110-001",67,7,3,-9.84483,33.8737,0,6,12,45,0,0,0,0,63,0,1,1,0,0,1,1,-0.0541713049401865
"0110-003",48.5,8,0,-11.015175,33.864554,1,1,53,43,0,0,0,0,36,0,1,0,1,2,1,1,2.69712403906362
"0110-005",34,6,0,-11.453571,34.003228,2,15,4,39,1,0,0,0,26,0,1,1,1,2,1,1,-0.937514550464697
"0110-006",80,8,0,-13.657176,33.955696,3,3,44,6,0,0,0,0,25,0,1,0,1,2,1,1,0.576466678786
"0110-007",50,7,9,-9.760892,33.881145,1,3,21,49,0,0,0,0,25,0,1,1,1,1,0,0,-0.937514550464697
"0111-001",35,5,8,-10.1988,33.6635,12,3,40,26,0,0,0,0,27,0,1,1,1,1,0,0,-0.937514550464697
"0112-001",54,8,4,-9.84483,33.8737,0,6,13,45,0,0,0,0,68,1,0,1,0,0,0,0,-0.937514550464697
"0113-001",41,4,14,-10.1988,33.6635,11,3,41,26,0,0,0,0,28,0,0,1,0,0,0,0,-0.937514550464697
"0114-001",43,6,0,-9.84483,33.8737,0,6,13,47,0,0,0,0,31,0,1,0,1,2,1,1,1.16848606588948
"0115-001",68,7,0,-10.1988,33.6635,12,3,39,2,0,0,0,0,34,0,0,1,1,1,0,0,-0.345495163361213
"0116-001",42,6,0,-9.84483,33.8737,1,6,13,47,0,0,0,0,45,0,0,0,0,0,1,1,-0.937514550464697
"0117-001",56,8,8,-11.43912,34.018784,1,18,3,35,1,0,0,0,25,0,1,0,0,0,1,1,-0.345495163361213
"0117-002",70,7,5,-10.1988,33.6635,16,3,35,33,0,0,0,0,58,0,1,1,1,1,0,0,-0.0541713049401865
"0118-001",45.5,7,0,-9.84483,33.8737,2,5,14,49,0,0,0,0,50,0,0,0,1,1,1,1,-0.345495163361213
"0119-001",50,6,0,-10.1988,33.6635,14,1,38,24,0,0,0,0,76,1,0,0,0,0,1,1,-0.937514550464697
