"ea_id","FS_year","FNID","FCS","HDDS","rCSI","region_north","region_central","rural","lat_modified","lon_modified","dist_road","dist_admarc","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","FS_month","head_age","female_head","hhsize","floor_dirt_sand_dung","cell_phone","number_celphones","roof_not_natural","roof_iron","asset_index","yearmon","raincytot","day1rain","maxdaysnorain","lhz_day1rain","gdd","tmean","lhz_raincytot","lhz_maxdaysnorain","heatdays","floodmax","lhz_floodmax"
"20111718",2016,"MW2012C3020403",38.6521739130435,4.04347826086957,9.39130434782609,0,1,1,-13.3490726956522,33.4057347826087,16.695652173913,10.5217391304348,37.695652173913,15.7826086956522,0,1,0,0,10,38.695652173913,0.217391304347826,5.47826086956522,0.782608695652174,0.565217391304348,1,0.434782608695652,0.434782608695652,-0.394172928575241,Oct 2016,861.880603956726,64,138,65,214,27.1117860597984,853.578281906519,100,0,0,0
"20111718",2016,"MW2012C3020603",38.6521739130435,4.04347826086957,9.39130434782609,0,1,1,-13.3490726956522,33.4057347826087,16.695652173913,10.5217391304348,37.695652173913,15.7826086956522,0,1,0,0,10,38.695652173913,0.217391304347826,5.47826086956522,0.782608695652174,0.565217391304348,1,0.434782608695652,0.434782608695652,-0.394172928575241,Oct 2016,861.880603956726,64,138,66,214,26.9517477564352,826.008399362797,93,0,0,0
"20111718",2016,"MW2012C3020703",38.6521739130435,4.04347826086957,9.39130434782609,0,1,1,-13.3490726956522,33.4057347826087,16.695652173913,10.5217391304348,37.695652173913,15.7826086956522,0,1,0,0,10,38.695652173913,0.217391304347826,5.47826086956522,0.782608695652174,0.565217391304348,1,0.434782608695652,0.434782608695652,-0.394172928575241,Oct 2016,861.880603956726,64,138,67,214,27.4405136571866,825.404887740953,94,0,0,0
"20111718",2016,"MW2012C3031206",38.6521739130435,4.04347826086957,9.39130434782609,0,1,1,-13.3490726956522,33.4057347826087,16.695652173913,10.5217391304348,37.695652173913,15.7826086956522,0,1,0,0,10,38.695652173913,0.217391304347826,5.47826086956522,0.782608695652174,0.565217391304348,1,0.434782608695652,0.434782608695652,-0.394172928575241,Oct 2016,861.880603956726,64,138,74,177,28.9638303168467,637.750707217625,131,37,0,0
"20112290",2010,"MW2012C3020103",47.03125,4.75,2.3125,0,1,1,-12.8852996826172,33.6596984863281,16.1418752670288,19.1637500524521,22.0668751001358,33.25,0,1,0,0,12,45.625,0.1875,5.875,0.9375,0.3125,0.375,0.125,0.125,-0.31312928820332,Dec 2010,1020.46145534265,39,126,40,213,24.2140398732933,1121.61390383934,64,0,867.442250153286,0
"20112334",2010,"MW2012C3020103",48.46875,5.25,2,0,1,1,-13.0994997024536,33.782398223877,4.72538462653756,10.9892308712006,34.0661537647247,43.6153843402863,0.0625,0.9375,0,0,7,37.9375,0.125,4.6875,1,0.5,0.6875,0,0,-0.348531023747156,Jul 2010,1040.75313155551,57,119,40,213,24.2140398732933,1121.61390383934,64,0,947.253713006253,0
"20112661",2010,"MW2012C3020103",45.96875,4.5625,1.5625,0,1,1,-12.8816003799438,33.7267990112305,25.4742857217789,10.1757143735886,35.3821427822113,50.7142858505249,0,1,0,0,6,47.5,0.125,5.0625,0.9375,0.1875,0.25,0.1875,0.1875,-0.505197019208576,Jun 2010,1046.46371450613,39,116,40,213,24.2140398732933,1121.61390383934,64,0,944.012021168575,0
"20112661",2010,"MW2012C3020403",45.96875,4.5625,1.5625,0,1,1,-12.8816003799438,33.7267990112305,25.4742857217789,10.1757143735886,35.3821427822113,50.7142858505249,0,1,0,0,6,47.5,0.125,5.0625,0.9375,0.1875,0.25,0.1875,0.1875,-0.505197019208576,Jun 2010,1046.46371450613,39,116,40,213,24.312189413199,1053.04186703822,84,0,944.012021168575,0
"20112661",2010,"MW2012C3020603",45.96875,4.5625,1.5625,0,1,1,-12.8816003799438,33.7267990112305,25.4742857217789,10.1757143735886,35.3821427822113,50.7142858505249,0,1,0,0,6,47.5,0.125,5.0625,0.9375,0.1875,0.25,0.1875,0.1875,-0.505197019208576,Jun 2010,1046.46371450613,39,116,40,213,24.1733687112776,1123.61993635997,60,0,944.012021168575,0
"20112661",2010,"MW2012C3020703",45.96875,4.5625,1.5625,0,1,1,-12.8816003799438,33.7267990112305,25.4742857217789,10.1757143735886,35.3821427822113,50.7142858505249,0,1,0,0,6,47.5,0.125,5.0625,0.9375,0.1875,0.25,0.1875,0.1875,-0.505197019208576,Jun 2010,1046.46371450613,39,116,39,213,24.4941634272186,1303.67586684568,71,0,944.012021168575,0
"20112661",2013,"MW2012C3020103",38.8684210526316,4.15789473684211,5.21052631578947,0,1,1,-12.8748556315789,33.724366,25.8421052631579,10.8421052631579,35.6842105263158,42.7894736842105,0,1,0,0,7,49.3684210526316,0.105263157894737,5.89473684210526,0.894736842105263,0.368421052631579,0.631578947368421,0.157894736842105,0.157894736842105,-0.658070806074776,Jul 2013,856.783934606476,70,131,31,213,22.9977035200092,816.836660261531,77,0,878.838895487081,0
"20112661",2013,"MW2012C3020403",38.8684210526316,4.15789473684211,5.21052631578947,0,1,1,-12.8748556315789,33.724366,25.8421052631579,10.8421052631579,35.6842105263158,42.7894736842105,0,1,0,0,7,49.3684210526316,0.105263157894737,5.89473684210526,0.894736842105263,0.368421052631579,0.631578947368421,0.157894736842105,0.157894736842105,-0.658070806074776,Jul 2013,856.783934606476,70,131,66,213,23.2037520765325,865.140062408014,90,0,878.838895487081,0
"20112661",2013,"MW2012C3020603",38.8684210526316,4.15789473684211,5.21052631578947,0,1,1,-12.8748556315789,33.724366,25.8421052631579,10.8421052631579,35.6842105263158,42.7894736842105,0,1,0,0,7,49.3684210526316,0.105263157894737,5.89473684210526,0.894736842105263,0.368421052631579,0.631578947368421,0.157894736842105,0.157894736842105,-0.658070806074776,Jul 2013,856.783934606476,70,131,51,213,23.3149057522626,908.60001222271,70,0,878.838895487081,0
"20112661",2013,"MW2012C3020703",38.8684210526316,4.15789473684211,5.21052631578947,0,1,1,-12.8748556315789,33.724366,25.8421052631579,10.8421052631579,35.6842105263158,42.7894736842105,0,1,0,0,7,49.3684210526316,0.105263157894737,5.89473684210526,0.894736842105263,0.368421052631579,0.631578947368421,0.157894736842105,0.157894736842105,-0.658070806074776,Jul 2013,856.783934606476,70,131,31,213,23.4875732780063,848.446668337072,85,0,878.838895487081,0
"20112661",2016,"MW2012C3020103",43.1730769230769,4.15384615384615,4.92307692307692,0,1,1,-12.9404333846154,33.7045995769231,23.4230769230769,11.1923076923077,38.2307692307692,39.9230769230769,0.0769230769230769,0.884615384615385,0,0,7.26923076923077,42.0769230769231,0.115384615384615,4.69230769230769,0.807692307692308,0.5,0.807692307692308,0.192307692307692,0.192307692307692,-0.285493186308458,Jul 2016,855.029799873338,32,136,65,214,26.9192455256097,837.560860426175,74,0,0,0
"20112661",2016,"MW2012C3020403",43.1730769230769,4.15384615384615,4.92307692307692,0,1,1,-12.9404333846154,33.7045995769231,23.4230769230769,11.1923076923077,38.2307692307692,39.9230769230769,0.0769230769230769,0.884615384615385,0,0,7.26923076923077,42.0769230769231,0.115384615384615,4.69230769230769,0.807692307692308,0.5,0.807692307692308,0.192307692307692,0.192307692307692,-0.285493186308458,Jul 2016,855.029799873338,32,136,65,214,27.1117860597984,853.578281906519,100,0,0,0
"20112661",2016,"MW2012C3020603",43.1730769230769,4.15384615384615,4.92307692307692,0,1,1,-12.9404333846154,33.7045995769231,23.4230769230769,11.1923076923077,38.2307692307692,39.9230769230769,0.0769230769230769,0.884615384615385,0,0,7.26923076923077,42.0769230769231,0.115384615384615,4.69230769230769,0.807692307692308,0.5,0.807692307692308,0.192307692307692,0.192307692307692,-0.285493186308458,Jul 2016,855.029799873338,32,136,66,214,26.9517477564352,826.008399362797,93,0,0,0
"20112661",2016,"MW2012C3020703",43.1730769230769,4.15384615384615,4.92307692307692,0,1,1,-12.9404333846154,33.7045995769231,23.4230769230769,11.1923076923077,38.2307692307692,39.9230769230769,0.0769230769230769,0.884615384615385,0,0,7.26923076923077,42.0769230769231,0.115384615384615,4.69230769230769,0.807692307692308,0.5,0.807692307692308,0.192307692307692,0.192307692307692,-0.285493186308458,Jul 2016,855.029799873338,32,136,67,214,27.4405136571866,825.404887740953,94,0,0,0
"20113112",2010,"MW2012C3020103",49.65625,5.5,1,0,1,1,-12.9685001373291,33.8605003356934,14.276250064373,8.27500006556511,41.5150001049042,49.25,0,0.9375,0,0,3,39.75,0.0625,5.875,0.875,0.375,0.6875,0.0625,0.0625,-0.00194688037027125,Mar 2010,1156.29404090893,69,127,40,213,24.2140398732933,1121.61390383934,64,0,1095.19821505504,0
"20113112",2010,"MW2012C3020603",49.65625,5.5,1,0,1,1,-12.9685001373291,33.8605003356934,14.276250064373,8.27500006556511,41.5150001049042,49.25,0,0.9375,0,0,3,39.75,0.0625,5.875,0.875,0.375,0.6875,0.0625,0.0625,-0.00194688037027125,Mar 2010,1156.29404090893,69,127,40,213,24.1733687112776,1123.61993635997,60,0,1095.19821505504,0
"20113112",2010,"MW2012C3020803",49.65625,5.5,1,0,1,1,-12.9685001373291,33.8605003356934,14.276250064373,8.27500006556511,41.5150001049042,49.25,0,0.9375,0,0,3,39.75,0.0625,5.875,0.875,0.375,0.6875,0.0625,0.0625,-0.00194688037027125,Mar 2010,1156.29404090893,69,127,40,213,24.007396730235,1083.94075265588,78,0,1095.19821505504,0
"20113112",2010,"MW2012C3020913",49.65625,5.5,1,0,1,1,-12.9685001373291,33.8605003356934,14.276250064373,8.27500006556511,41.5150001049042,49.25,0,0.9375,0,0,3,39.75,0.0625,5.875,0.875,0.375,0.6875,0.0625,0.0625,-0.00194688037027125,Mar 2010,1156.29404090893,69,127,41,213,24.7710757116757,1007.78732784786,80,0,1095.19821505504,0
"20113112",2013,"MW2012C3020103",48.6304347826087,5.26086956521739,1.95652173913043,0,1,1,-13.1482792173913,33.8533895652174,14.7391304347826,8.78260869565217,40.3478260869565,44.0869565217391,0,0.91304347826087,0,0,4.47826086956522,38.2173913043478,0.0869565217391304,5.21739130434783,0.826086956521739,0.434782608695652,0.521739130434783,0.173913043478261,0.130434782608696,-0.461479561688144,Apr 2013,993.872837270598,67,127,31,213,22.9977035200092,816.836660261531,77,0,968.748719692468,0
"20113112",2013,"MW2012C3020603",48.6304347826087,5.26086956521739,1.95652173913043,0,1,1,-13.1482792173913,33.8533895652174,14.7391304347826,8.78260869565217,40.3478260869565,44.0869565217391,0,0.91304347826087,0,0,4.47826086956522,38.2173913043478,0.0869565217391304,5.21739130434783,0.826086956521739,0.434782608695652,0.521739130434783,0.173913043478261,0.130434782608696,-0.461479561688144,Apr 2013,993.872837270598,67,127,51,213,23.3149057522626,908.60001222271,70,0,968.748719692468,0
"20113112",2013,"MW2012C3020803",48.6304347826087,5.26086956521739,1.95652173913043,0,1,1,-13.1482792173913,33.8533895652174,14.7391304347826,8.78260869565217,40.3478260869565,44.0869565217391,0,0.91304347826087,0,0,4.47826086956522,38.2173913043478,0.0869565217391304,5.21739130434783,0.826086956521739,0.434782608695652,0.521739130434783,0.173913043478261,0.130434782608696,-0.461479561688144,Apr 2013,993.872837270598,67,127,51,213,23.4936749668748,968.722753791177,81,0,968.748719692468,0
"20113112",2013,"MW2012C3020913",48.6304347826087,5.26086956521739,1.95652173913043,0,1,1,-13.1482792173913,33.8533895652174,14.7391304347826,8.78260869565217,40.3478260869565,44.0869565217391,0,0.91304347826087,0,0,4.47826086956522,38.2173913043478,0.0869565217391304,5.21739130434783,0.826086956521739,0.434782608695652,0.521739130434783,0.173913043478261,0.130434782608696,-0.461479561688144,Apr 2013,993.872837270598,67,127,51,213,24.4893146067158,924.502719595121,91,0,968.748719692468,0
