"ea_id","FS_year","FNID","FCS","HDDS","rural","FS_month","region2","region3","region4","lat_modified","lon_modified","dist_road","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","head_age","female_head","asset_index","Cellphone","num_cell","floor_dirt_sand_dung","roof_not_natural","roof_iron","clust_cassava_price","clust_bean_mktthin","clust_maize_mktthin","clust_cassava_mktthin","lhz_cassava_price","lhz_bean_mktthin","lhz_maize_mktthin","lhz_cassava_mktthin","raincytot","day1rain","maxdaysnorain","lhz_day1rain","gdd","tmean","lhz_raincytot","lhz_maxdaysnorain","floodmax","lhz_floodmax"
"1020028",2011,"UG2011L140",62.8333333333333,6.33333333333333,0,3.33333333333333,0,0,0,0.356767296791077,32.5571060180664,0.849516666666667,3.03991666666667,2.16666666666667,0,1,0,0,36.6666666666667,0,1.08334067799892,1,2.83333333333333,0,1,1,933.333333333333,0.666666666666667,0.666666666666667,0,1044.75289015869,0.666666666666667,0.666666666666667,0.143252810980478,1676.61531649246,3,51,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020029",2010,"UG2011L140",51.2,5.6,0,2,0,0,0,0.330749988555908,32.5421371459961,0.598,3.818,2.8,0,1,0,0,43.2,0.4,-0.627744541345617,0.8,1.8,0,1,1,975,1,1,0,1199.45486802827,1,1,0,452.356728055518,3,9,3,123,24.6040531313516,418.717351084538,6,0,0
"1020029",2011,"UG2011L140",51.2,5.6,0,4,0,0,0,0.330750405788422,32.5421409606934,0.60326,3.7997,1.6,0,1,0,0,44.8,0,1.04796874229729,0.6,1,0,1,1,650,1,1,0,876.490495528599,1,1,0,1771.14512630352,3,61,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020030",2010,"UG2011L140",30,4.5,0,2,0,0,0,0.289792001247406,32.5353813171387,0.65,3.775,36,0,1,0,0,30.5,0,0.182073821094946,0.5,1,0,1,1,975,1,1,0,1199.45486802827,1,1,0,449.837307553518,3,6,3,123,24.6040531313516,418.717351084538,6,0,0
"1020030",2011,"UG2011L140",30,4.5,0,4,0,0,0,0.289791643619537,32.5353813171387,0.6453,3.80395,36,0,1,0,0,31,0,0.634336040086167,1,1.5,0,1,1,650,1,1,0,876.490495528599,1,1,0,1819.90571909834,3,32,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020031",2010,"UG2011L140",64.3333333333333,6.33333333333333,0,10,0,0,0,0.279319494962692,32.5660514831543,0.9965,5.98376666666667,41.3333333333333,0,1,0,0,62,0,2.93989759366657,0.666666666666667,4.33333333333333,0,1,1,633.3333,1,1,0,806.044248246778,1,1,0,437.857101735637,3,7,3,123,24.6040531313516,418.717351084538,6,0,0
"1020032",2011,"UG2011L140",65.6666666666667,5.66666666666667,0,6,0,0,0,0.332452565431595,32.5423698425293,0.377,1.5058,27.6666666666667,0,1,0,0,32.3333333333333,0,0.234533890843878,1,2,0,1,1,1000,0,0,0,1188.23795302833,0.0205466463526634,0.0449391356896276,0,1821.29661120382,3,45,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020033",2010,"UG2011L140",48,5.5,0,8.5,0,0,0,0.317143186926842,32.5373229980469,0.38055,4.7473,18,0,1,0,0,31,0.5,1.61880006508591,0.5,0.5,0,1,1,650,1,1,0,875.019800069491,1,1,0,476.661909058561,3,12,3,123,24.6040531313516,418.717351084538,6,0,0
"1020033",2011,"UG2011L140",29.5,3,0,2,0,0,0,0.317143380641937,32.5373229980469,0.3745,4.9205,18,0,1,0,0,61,0,-0.778236007520411,1,3,0,1,1,500,1,1,0,818.134165677136,1,1,0,1912.94739208881,3,58,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020034",2011,"UG2011L140",42,5,0,1,0,0,0,0.30460998415947,32.543773651123,0.38895,4.482175,19,0,1,0,0,45.75,0,-0.765740720723944,1,1,0,1,1,900,1,1,0,1001.56601018777,1,1,0.214879216470717,1883.87522487264,3,49,3,488,22.9908989077709,1732.87144601946,26,0,0
"10210001",2012,"UG2011L140",73,6.75,0,6,0,0,0,0.33318766951561,32.5706558227539,1.12345,0.8525,0,0,1,0,0,52.5,0,3.92216328161105,1,6.25,0,1,1,1275,0,0,0,1336.77842537627,0.0449391356896276,0.0449391356896276,0.0449391356896276,1878.76780478965,15,71,5,489,23.030044224901,1967.4150633193,22,0,0
"10210002",2011,"UG2011L140",62.8333333333333,6.66666666666667,0,12,0,0,0,0.313044756650925,32.5691452026367,1.41483333333333,1.58153333333333,6,0,1,0,0,47.3333333333333,0.666666666666667,0.00188538608006371,0.333333333333333,0.333333333333333,0.333333333333333,1,1,1128,0,0,0,1189.66048557351,0.0449391356896276,0.0449391356896276,0.0449391356896276,1901.16486051731,17,76,3,488,22.9908989077709,1732.87144601946,26,0,0
