"ea_id","FS_year","floor_cement","floor_dirt_sand_dung","roof_iron","roof_natural","roof_other","Radio","Television","Bicycle","Motorcycle","Car","cellphone","number_celphones","dist_road","dist_popcenter","dist_market","dist_admctr","ag_percent","slope","elevation","hh_a02","FS_month","HDDS","FCS","Month","dummy_terrain_rough","nutri_severe_constraint","nutri_moderate_constraint","yearmon","asset_index","rural","date","clust_bean_price","clust_maize_price","clust_cassava_price","clust_bean_mktthin","clust_maize_mktthin","clust_cassava_mktthin","lhz_bean_price","lhz_maize_price","lhz_cassava_price","lhz_bean_mktthin","lhz_maize_mktthin","lhz_cassava_mktthin","cropyear","raincytot","day1rain","maxdaysnorain","lhz_day1rain","gdd","tmean","lhz_raincytot","lhz_maxdaysnorain","floodmax","lhz_floodmax"
"1020013",2011,NA,NA,NA,NA,NA,0.666666666666667,0.333333333333333,0,0.333333333333333,0,0.666666666666667,1,2.3676,5.28676666666667,6.27326666666667,14.3741333333333,32.6666666666667,7.25333333333333,1178,NA,4.66666666666667,5.66666666666667,57.3333333333333,NA,0,0.666666666666667,0.333333333333333,Apr 2011,0.906909628456974,0,2011-04-21,2283.33333333333,1033.33333333333,916.666666666667,0,0,0,2262.18687805862,1012.63049667678,1136.81417069618,0.0205466463526634,0.0299594237930851,0,NA,2028.9791404372,3,64,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020014",2009,1,0,0,1,0,0.75,1,0,0,0,1,1.75,1.305,3.3075,3.3075,3.3075,12.5,5.976252,1174.25,NA,11,5.75,52.375,NA,0,0,1,Nov 2009,1.99181009346648,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,510.34252849656,5,17,8.5,123,24.0649682579971,457.689826424056,10,0,0
"1020014",2010,1,0,0.833333333333333,0.166666666666667,0,0.5,1,0,0,0,1,2,1.59938333333333,3.94625,5.22333333333333,6.86456666666667,25.8333333333333,6.54557183333333,1179.5,NA,10.6666666666667,5.33333333333333,67,NA,0,0,0.833333333333333,Oct 2010,3.01184456831704,0,2010-10-21,NA,NA,866.666666666667,1,1,0,NA,NA,843.794299563343,1,1,0.103932406112678,NA,460.891090135809,3,10,3,123,25.0178460594115,416.273935849018,6,0,0
"1020014",2011,1,0,1,0,0,1,1,0,0.333333333333333,0,1,1.33333333333333,1.70773333333333,3.60263333333333,3.60263333333333,3.60263333333333,17,5.93333333333333,1169.66666666667,NA,5.33333333333333,5.33333333333333,44.5,NA,0,0.333333333333333,0.666666666666667,May 2011,3.66865949736731,0,2011-05-11,2316.66666666667,1200,883.333333333333,0,0,0,2306.70217052356,1063.92124335345,1058.6920488509,0.0431880955299631,0.0224695678448138,0.00748985594827127,NA,1823.80657216505,3,56,3,488,23.4362111451196,1736.61404428831,30.5,0,0
"1020015",2009,0.666666666666667,0.333333333333333,0,1,0,0.666666666666667,0.333333333333333,0,0.333333333333333,0.333333333333333,1,2.33333333333333,3.05333333333333,3.69,3.69,3.69,8,7.361089,1205,NA,11,5.33333333333333,44.3333333333333,NA,0,1,0,Nov 2009,1.16396526216958,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508.534502156079,5,17,4,123,23.5007118039015,449.890911946173,11,0,0
"1020015",2010,1,0,0.75,0,0.25,0.5,0.75,0.25,0,0.5,1,5.25,3.092875,3.70195,3.70195,3.70195,7.5,7.36,1203.25,NA,12,6,57,NA,0,1,0,Dec 2010,3.4802540203677,0,2010-12-01,NA,NA,900,1,1,0,NA,NA,1001.56601018777,1,1,0.214879216470717,NA,472.27269648921,3,8,3,123,24.6040531313516,418.717351084538,6,0,0
"1020015",2011,1,0,1,0,0,1,1,0,0,0,1,1,0.504,3.9294,3.9294,3.9294,7,9.14,1217,NA,7,7,76.5,NA,0,0,1,Jul 2011,3.46850235361017,0,2011-07-01,1438,1075,1000,0,0,0,1584.15294804712,1182.00770457739,1131.12665010052,0,0,0,NA,1840.91797996116,3,34,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020016",2009,0.666666666666667,0,0.333333333333333,1,0,0.333333333333333,1,0,0,0.333333333333333,1,3.66666666666667,2.91666666666667,3.76333333333333,3.76333333333333,3.76333333333333,10,6.975143,1193.66666666667,NA,12,7,90,NA,0,1,0,Dec 2009,2.30697373965683,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,540.345951706536,4,20,4,123,23.5007118039015,449.890911946173,11,0,0
"1020016",2011,1,0,1,0,0,1,1,0,0,0.5,1,2.5,2.8713,5.4494,5.4494,5.4494,41,7.125,1170.5,NA,2.5,7,77.75,NA,0,1,0,Feb 2011,4.05085026386014,0,2011-02-15,1600,800,625,0.5,0.5,0,1817.05737338295,841.147366248715,926.050385854508,0.510273323176332,0.5,0,NA,1913.08917053772,3,58,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020017",2010,1,0,0,1,0,0.625,0.375,0,0,0,0.75,1.875,5.12875,8.17625,8.17625,8.17625,52,7.684096625,1177.875,NA,3.5,5.5,56.875,NA,0,1,0,Mar 2010,1.10591298587813,0,2010-03-17,NA,NA,743.8750125,1,1,0,NA,NA,945.679532023002,1,1,0,NA,474.105224949148,3,11,3,123,25.4316389874715,413.830520613497,6,0,0
