FS_year,FCS,rCSI,rural,lat_modified,lon_modified
2015,67.1875,2,1,-6.110986127,39.27122018
2015,85.66666667,0,0,-6.169452789,39.24075827
2014,67.5625,1,0,-6.169116957,39.23604392
2015,66.875,2.25,0,-6.148449203,39.23398411
2015,70.375,0,0,-6.158383781,39.25129776
2015,76.4375,0,0,-6.157093824,39.23839155
2014,72.21428571,3.142857143,0,-6.140055204,39.21851141
2015,73.4375,0.75,0,-6.115597205,39.21983105
2015,75.25,0,0,-6.202613553,39.26233589
2015,68,0.25,0,-6.18850955,39.22211035
2015,74.3125,0.375,0,-6.138780437,39.22559713
2015,66.125,2.875,0,-6.157603528,39.24806789
2015,59.5,0,0,-6.114077283,39.22557128
2014,65.125,0,0,-6.089312084,39.22432818
2015,85.875,0,0,-6.206548122,39.20402872
2014,74.71428571,0.857142857,0,-6.215029356,39.231431
2015,84.4375,0.5,0,-6.178602347,39.22558832
2015,77.14285714,2,0,-6.170272434,39.25421252
2015,70.375,0,0,-6.179097991,39.25334423
2015,84.4375,0.125,1,-6.16259797,39.202347
2015,71.1875,0,1,-6.162855508,39.22269786
2015,72.33333333,1,1,-6.168685242,39.19838201
2015,72.0625,0.375,1,-6.1823109,39.20536248
2015,77.5,0,0,-5.063100232,39.72192074
2015,81.5,0,1,-5.177302915,39.80283843
2015,63.9375,0,1,-5.137311677,39.80180372
2015,62.5,0.25,0,-5.064796983,39.75740775
2015,74,1.875,1,-4.953696962,39.74959844
2015,70.8125,0,0,-4.944846852,39.74553448
2015,66.0625,0,1,-4.972660933,39.86617064
2015,64.08333333,0,1,-4.934751204,39.68400734
2015,62.5625,0,1,-5.276789673,39.75209106
2015,67,0.25,0,-5.232075254,39.76206632
2015,65.9375,3.5,1,-5.260049974,39.81990018
2015,65.8125,0,0,-5.258487918,39.77684276
2015,58.25,1.25,1,-5.380547508,39.75080135
2015,74.9375,0,0,-5.375430328,39.70718778
2014,42.625,3.375,1,-6.36615404,38.57992579
2015,63.1875,7.875,0,-6.447658018,38.88947433
2015,58.25,5.375,1,-7.190808814,38.9276248
2015,38.75,10.375,1,-7.29017409,39.21059582
2015,53.625,11.625,0,-7.724348624,38.94313801
2014,74.4375,3.75,0,-6.749704437,38.94240315
2014,48,3.5,0,-6.814905237,39.23214604
2015,57,5.375,0,-6.805894929,39.22818525
2014,45.6875,7.875,0,-6.796420837,39.24674048
2015,65.75,3.375,0,-6.785620961,39.26802587
2015,51.3125,4.375,0,-6.761356155,39.25486281
2015,58,1.875,0,-6.802663056,39.25590103
2015,67.1875,1.875,0,-6.80956793,39.22853798
2015,56.625,6.375,0,-6.804430055,39.24369944
2015,63.25,0.5,0,-6.782871767,39.22162173
2015,79.125,0.625,0,-6.766904815,39.2161196
2015,59.125,2.875,0,-6.75008378,39.1652815
2015,53.5,1.375,0,-6.733845347,39.22370288
2014,61.5,2.125,0,-6.648923379,39.17044616
2015,65.8125,2.875,0,-6.574692127,39.13939026
2015,56.875,4.375,0,-6.800621298,39.20092538
2015,78.5,0.75,0,-6.801791822,39.22593553
2015,60,2.25,0,-6.784548704,39.24320137
2015,59.5,0.25,0,-6.78320319,39.23710014
2015,53,0.5,0,-6.77524317,39.2425441
2015,57.25,7.25,0,-6.817496718,39.16347445
2015,54.5,0.75,0,-6.798612305,39.10859434
2015,62.6875,2.25,0,-6.771594163,39.11584317
2015,59,1.75,0,-6.805970208,39.16300613
2015,52.5,4.125,0,-6.780298289,39.15429596
2014,59.16666667,4,0,-6.791265854,39.09026651
2015,67.5,0,0,-6.791265854,39.09026651
2015,66.75,2.875,0,-6.812183591,39.11214107
2015,72.1875,3.625,0,-6.750099977,39.20623114
2015,66.625,4.25,0,-6.659574468,39.17897247
2015,50.125,12,0,-6.686955428,39.1770943
2015,62,3.625,0,-6.890210111,39.19098203
2014,59.71428571,2.285714286,0,-6.864447352,39.12435804
2015,75,0,0,-6.831019294,39.22626536
2015,59.875,1.5,0,-6.867039762,39.15418565
2015,63.375,0.25,0,-6.824163564,39.26896772
2015,56.25,6.125,0,-6.828706781,39.22339286
2015,77.25,3.75,0,-6.854806497,39.18087106
2015,42.0625,1.125,0,-6.887772488,39.17829475
2015,56.375,1,0,-6.834193572,39.24428521
2014,65.6875,0,0,-6.809117751,39.28974743
2015,47,3.5,0,-6.853675077,39.23399511
2015,53.625,3.125,0,-6.866652,39.22766472
2015,67,3,0,-6.82915316,39.21950085
2015,51,3.5,0,-6.902859379,39.21387548
2015,63,5.25,0,-6.891413493,39.18065103
2014,51.25,10.25,0,-6.862454587,39.15892699
2015,65.875,5.375,0,-6.912678458,39.15028947
2015,58.75,4.75,0,-6.954392875,39.08373475
2015,61.25,1.5,0,-6.824114893,39.21674275
2015,57.375,2.25,0,-6.883819511,39.27233837
2015,61.5,4.375,0,-6.930558976,39.23771066
2015,53.75,5.25,0,-6.881537758,39.21251021
2015,59.625,1.875,0,-6.911376698,39.25119
2015,70.75,3.25,0,-6.933613491,39.26529307
2014,59.25,3.375,0,-6.949100846,39.27884987
2015,65.375,1.5,0,-6.846917818,39.27066539
2015,35.25,8.5,0,-6.874451213,39.27469215
2015,68.75,1,0,-6.870724857,39.25845114
2015,48.9375,3.375,0,-6.841311139,39.25737969
2015,50.625,6.625,0,-6.898044243,39.28848393
2015,41.625,8.75,0,-6.908105657,39.26468628
2015,45.0625,6.25,0,-7.102633247,39.52852
2015,61.5,8,0,-6.878639858,39.27815447
2015,51.8125,9.5,0,-6.933634013,39.25950414
2015,58.875,0.375,0,-6.904069735,39.28522294
2015,63.125,5.125,0,-6.90320619,39.24613424
2015,52.125,5.75,0,-6.893275794,39.26270935
2015,58.25,2.125,0,-6.875384247,39.25025768
2015,35.5625,13.875,1,-8.541018188,39.24237401
2015,64.9375,0.75,0,-8.75634557,39.41945437
2015,44.625,6.125,1,-9.631540436,39.71345967
2014,29,0,1,-10.2512625,39.42546798
2015,38.5,13.85714286,1,-10.2512625,39.42546798
2015,39.5,7.375,1,-9.875055516,39.30009836
2014,43.1875,24.25,1,-10.33026156,38.18644814
2015,38.1875,12.125,1,-10.2761021,38.4596453
2014,39.25,15.875,1,-9.858399056,37.98496389
2015,41.9375,17.375,1,-10.1314537,38.94475985
2015,63.375,6.75,0,-10.00058261,39.70506023
2014,57.375,7.25,1,-10.54252733,40.27873696
2015,25.3125,5.375,1,-10.38669378,39.72902069
2015,36.5625,16,1,-10.22306805,40.22482855
2015,31.25,7.875,1,-10.96845897,39.36763751
2014,57.25,7.625,1,-10.73628297,39.19315759
2015,41.6875,3.75,1,-10.79114579,39.19783013
2015,62.625,11.75,1,-10.46180474,39.04196114
2015,52.4375,4,0,-10.49462673,39.02205957
2015,36.4375,15.5,1,-10.87935789,39.06935541
2015,32.0625,14,1,-10.80111076,39.86319492
2015,46.0625,10.75,1,-10.88077447,39.50717994
2015,38.4375,6.5,1,-10.42273442,39.37146184
2015,63.875,5,0,-10.26594472,40.1756417
2015,33.75,8.5,1,-10.9639918,38.5300396
2015,39.625,24.5,1,-10.85316669,38.83524693
2014,39.5,8,1,-10.67743305,38.89779652
2015,47.5,3,0,-10.74502705,38.80082959
