,ea_id,FS_year,lat_modified,lon_modified,tz15_FCS_truth,tz_FCS_LR,tz_FCS_RFC,tz15_rCSI_truth,tz_rCSI_LR,tz_rCSI_RFC,tz_FCS_LR_error,tz_FCS_RFC_error,tz_rCSI_LR_error,tz_rCSI_RFC_error
133,200222101001,2015,-1.7794099109900001,34.4453660723,0,0,0,1,0,0,0,0,1,1
134,200310104009,2015,-1.88648094021,33.7345018234,0,0,0,0,0,0,0,0,0,0
135,200412103003,2015,-2.1205316061099997,33.533694212,0,0,0,1,0,0,0,0,1,1
136,200509204001,2015,-1.5006938592299999,33.8096243771,0,0,0,0,0,0,0,0,0,0
137,200602102004,2015,-1.2988433767799998,33.9918776729,0,0,0,1,0,1,0,0,1,0
138,200706102005,2015,-1.81016321507,34.0882554207,0,0,0,0,0,0,0,0,0,0
139,200718103011,2015,-1.6249622081,33.925799678800004,0,0,0,1,0,1,0,0,1,0
140,20106102001,2015,-3.4996697826699994,36.5316215396,0,0,0,0,0,0,0,0,0,0
141,20203304004,2014,-3.3646767196,37.0461802548,0,0,0,0,0,0,0,0,0,0
142,20210303304,2014,-3.3746893453799998,36.833137699699996,0,0,0,0,1,0,0,0,-1,0
143,20213102005,2015,-3.37086282602,36.797238127600004,0,0,0,0,0,0,0,0,0,0
144,20310207005,2015,-3.3959351293099997,36.6873860512,0,0,0,1,0,0,0,0,1,1
145,20318204003,2014,-3.3551577677499997,36.6077888251,0,0,0,0,0,0,0,0,0,0
146,20505101001,2015,-2.27917524498,35.6971967069,0,0,0,1,0,0,0,0,1,1
147,20611102003,2015,-3.25584629666,36.5996743676,0,0,0,1,0,0,0,0,1,1
148,20702102003,2015,-3.06364447645,36.7432114236,1,0,0,1,0,1,1,1,1,0
149,210107101002,2015,-4.33590455691,35.7036859851,0,0,0,0,0,0,0,0,0,0
150,210201101006,2014,-4.70622925147,35.1988913374,0,0,0,0,0,0,0,0,0,0
151,210223102002,2015,-4.57907423015,35.5247921276,0,0,0,0,0,1,0,0,0,-1
152,210323102003,2014,-3.9861896483699994,35.5675486132,0,0,0,0,0,0,0,0,0,0
153,210416101011,2015,-3.5762841893300004,37.0078853237,0,0,0,0,1,0,0,0,-1,0
154,220103201008,2014,-9.3170774417,34.748527499699996,0,0,0,0,1,0,0,0,-1,0
155,220201106004,2015,-8.73752521692,34.7647189986,1,0,0,1,0,0,1,1,1,1
156,220216104001,2014,-9.1191788608,34.5322834693,0,0,0,0,1,0,0,0,-1,0
157,220403104006,2015,-9.05321499993,34.8479178596,1,0,0,0,1,0,1,1,-1,0
158,220518103004,2015,-10.1416470718,34.5873377147,0,0,0,0,0,0,0,0,0,0
159,220602201003,2015,-8.8553293045,34.8159606388,0,0,0,1,0,0,0,0,1,1
160,230106201004,2015,-6.3426173312800005,31.058253593200003,0,0,0,1,0,0,0,0,1,1
161,230202109002,2015,-6.120354397230001,30.941731181399998,0,0,0,0,0,0,0,0,0,0
162,230208301307,2015,-6.82123040254,30.422924104299998,0,0,0,1,0,0,0,0,1,1
163,230308102002,2015,-6.72782001484,32.034034463400005,0,0,0,0,0,0,0,0,0,0
164,230316101003,2015,-7.09372627888,31.066526384499998,0,0,0,1,0,0,0,0,1,1
165,230322101007,2015,-7.246177821980001,31.385800011300002,0,0,0,0,0,0,0,0,0,0
166,240101101001,2014,-2.49708682593,34.1864318633,0,0,0,1,0,0,0,0,1,1
167,240107302002,2015,-2.75795155434,34.038788694299996,0,0,0,1,0,0,0,0,1,1
168,240114102007,2015,-2.62034814158,33.7742557869,0,0,0,1,0,0,0,0,1,1
169,240121104003,2015,-2.44063748026,34.127938965,1,0,0,1,0,0,1,1,1,1
170,240125205007,2014,-2.79748564151,33.9947499249,0,0,0,0,1,0,0,0,-1,0
171,240208101007,2015,-2.9311926572500004,34.4117978875,1,0,0,1,0,0,1,1,1,1
172,240215304006,2015,-3.01235019361,33.9139392561,0,0,0,0,0,0,0,0,0,0
173,240302104002,2014,-3.64255887552,34.297041020900004,0,0,0,0,0,0,0,0,0,0
174,240312103002,2015,-3.9462178908199994,34.3035960766,0,0,0,0,0,0,0,0,0,0
175,240323103001,2014,-3.18041048511,34.318409567399996,1,0,0,1,0,0,1,1,1,1
176,240408102004,2015,-3.4521310716199993,34.0165335175,0,0,0,0,0,0,0,0,0,0
177,240416101002,2015,-3.11190737778,33.7727699061,0,0,0,0,0,0,0,0,0,0
178,240424102006,2015,-3.19969137202,33.512852225100005,0,0,0,1,0,0,0,0,1,1
179,240506302006,2015,-2.3739440167,33.6127490954,0,0,0,1,1,0,0,0,0,1
180,240506304313,2015,-2.3295419148099996,33.6665598883,0,0,0,1,1,0,0,0,0,1
181,250101102016,2015,-2.74385633744,32.0398351063,0,0,0,1,1,1,0,0,0,0
182,250108101016,2015,-2.55594845787,32.134145393800004,0,0,0,0,0,1,0,0,0,-1
183,250121102008,2015,-3.19047429803,32.3447586762,0,0,0,1,0,1,0,0,1,0
184,250128302003,2015,-2.97836980262,31.94330477,0,0,0,0,0,0,0,0,0,0
185,250135212001,2014,-2.8855148698299997,32.2190782971,0,0,0,0,0,0,0,0,0,0
186,250202101001,2015,-3.01351765768,32.5372311043,0,0,0,0,0,1,0,0,0,-1
187,250304101001,2014,-3.2829144734599995,31.944414420300003,0,0,0,0,0,0,0,0,0,0
188,250402101008,2015,-3.3566220978,31.5733048802,0,0,0,1,1,0,0,0,0,1
189,250413304329,2015,-3.47294997059,31.8754657018,0,0,0,1,1,0,0,0,0,1
190,250501303006,2015,-2.3650017660900002,31.7722718956,0,0,0,0,0,0,0,0,0,0
191,250515302002,2015,-2.94848853536,31.6204653639,0,0,0,1,0,0,0,0,1,1
192,30111102004,2015,-3.19285996847,37.5941825636,0,0,0,0,0,0,0,0,0,0
193,30119301009,2015,-2.98140299048,37.540105869099996,0,0,0,1,0,0,0,0,1,1
194,30216302302,2015,-3.66489051916,37.4491748102,0,0,0,1,0,0,0,0,1,1
195,30217102005,2015,-3.88177844444,37.659697757800004,0,0,0,1,0,0,0,0,1,1
196,30318103005,2015,-4.35388260435,37.9753287534,0,0,0,0,0,0,0,0,0,0
197,30326201009,2014,-4.07998822741,37.7707583915,0,0,0,1,0,0,0,0,1,1
198,30403102003,2015,-3.31522262182,37.5300899478,0,0,0,0,0,0,0,0,0,0
199,30411103004,2015,-3.30397593614,37.4566342022,0,0,0,0,0,0,0,0,0,0
200,30419106001,2015,-3.26141616504,37.3314975545,0,0,0,0,0,0,0,0,0,0
201,30426103001,2015,-3.33203734277,37.3306605029,0,0,0,0,0,0,0,0,0,0
202,30503103001,2015,-3.2264524720599996,37.2136646832,0,0,0,0,0,0,0,0,0,0
203,30512103005,2015,-3.39667807305,37.29576622,0,0,0,0,0,0,0,0,0,0
204,30602202009,2015,-3.34754222437,37.341951113200004,0,0,0,0,0,0,0,0,0,0
205,30611201003,2015,-3.37301760301,37.3412474393,0,0,0,0,0,0,0,0,0,0
206,30619204004,2015,-3.36347191768,37.3441139192,0,0,0,1,0,0,0,0,1,1
207,30711102008,2015,-3.1999797957,36.9717920653,0,0,0,0,0,0,0,0,0,0
208,40105302005,2015,-4.85992221196,38.3995556601,0,0,0,1,0,0,0,0,1,1
209,40119103003,2015,-4.6272311175,38.2303796204,0,0,0,1,0,0,0,0,1,1
210,40133103003,2015,-4.60976165083,38.3953895544,0,0,0,1,0,0,0,0,1,1
211,40205104003,2015,-5.16200432816,38.576961929899994,0,0,0,1,0,0,0,0,1,1
212,40220101001,2015,-4.94259689235,38.205289783000005,0,0,0,0,0,0,0,0,0,0
213,40323104002,2015,-4.95424962972,38.674338721,0,0,0,1,0,0,0,0,1,1
214,40403201002,2015,-5.08785908928,39.0739557316,0,0,0,0,0,0,0,0,0,0
215,40502202005,2015,-5.42358123836,38.9791911255,0,0,0,1,0,0,0,0,1,1
216,40513101003,2014,-5.8165264713100004,38.6663036387,0,0,0,1,0,0,0,0,1,1
217,40613103001,2015,-5.517354306980001,38.472838632,0,0,0,0,0,0,0,0,0,0
218,40706103001,2015,-5.71372407983,37.6352502392,0,0,0,1,0,0,0,0,1,1
219,40720105002,2015,-5.8419265051,37.2570670872,0,0,0,0,0,0,0,0,0,0
220,50119302001,2015,-7.515219671910001,36.851157914299996,0,0,0,1,0,0,0,0,1,1
221,50119303318,2015,-7.408829355700001,36.9879981253,0,0,0,0,0,0,0,0,0,0
222,50203101005,2015,-7.19139028499,37.877543458699996,0,0,0,1,0,0,0,0,1,1
223,50220103002,2015,-6.9612182996600005,37.678925873400004,0,0,0,1,0,0,0,0,1,1
224,50307305012,2015,-8.1026184687,36.669903513499996,0,0,0,0,0,0,0,0,0,0
225,50308303311,2015,-8.14482490559,36.6845935093,0,0,0,0,0,0,0,0,0,0
226,50424102003,2015,-8.543090985980001,36.4731908651,0,0,0,0,0,0,0,0,0,0
227,50505210001,2015,-6.8092223269800005,37.6722848168,0,0,0,0,0,0,0,0,0,0
228,50510202005,2014,-6.77473060842,37.6446823338,0,0,0,0,0,0,0,0,0,0
229,50516203002,2015,-6.790978226869999,37.6921376366,0,0,0,1,0,0,0,0,1,1
230,50611101008,2015,-7.169420605089999,37.576362327300004,0,0,0,1,0,0,0,0,1,1
231,50706303005,2015,-6.06950640164,36.8800228307,0,0,0,1,0,0,0,0,1,1
232,50706304315,2015,-6.148942317,36.8843874324,0,0,0,1,0,0,0,0,1,1
233,510108102001,2014,-5.8835482104,39.3222304098,0,0,0,0,0,0,0,0,0,0
234,510116203003,2014,-5.72717085098,39.2976819744,0,0,0,0,0,0,0,0,0,0
235,510121104001,2015,-5.90333456763,39.2521922498,0,1,0,0,1,0,-1,0,-1,0
236,510136102002,2014,-5.85828003421,39.3388582179,0,0,0,0,0,0,0,0,0,0
237,510212101001,2015,-5.94352988268,39.2911584895,0,0,0,0,0,0,0,0,0,0
238,510227101001,2015,-5.93973910431,39.2275126277,0,0,0,0,0,0,0,0,0,0
239,510228303301,2015,-5.9843025680199995,39.256628107800005,0,0,0,0,0,0,0,0,0,0
240,520113101001,2015,-6.05386569456,39.3334792169,0,0,0,0,0,0,0,0,0,0
241,520128102001,2015,-6.2191492555900005,39.401455978200005,0,0,1,0,0,0,0,-1,0,0
242,520209101002,2014,-6.44358713174,39.4664084602,0,0,0,0,0,0,0,0,0,0
243,530101305301,2014,-6.16021160278,39.252350974,0,0,0,0,0,0,0,0,0,0
244,530102304303,2015,-6.13182729551,39.218202888,0,0,0,0,0,0,0,0,0,0
245,530104104001,2015,-6.06238419723,39.2209903774,0,0,0,0,0,0,0,0,0,0
246,530109303302,2015,-6.1360204196599994,39.2370033606,0,0,0,0,0,0,0,0,0,0
247,530111103002,2015,-6.110986127,39.2712201768,0,0,0,0,0,0,0,0,0,0
248,530122201005,2015,-6.1694527887,39.240758265100006,0,0,0,0,0,0,0,0,0,0
249,530122206001,2014,-6.16911695716,39.2360439173,0,0,0,0,0,0,0,0,0,0
250,530123303303,2015,-6.148449203280001,39.2339841086,0,0,0,0,0,0,0,0,0,0
251,530124201003,2015,-6.15838378072,39.2512977561,0,0,0,0,0,0,0,0,0,0
252,530124205009,2015,-6.15709382381,39.2383915546,0,0,0,0,0,0,0,0,0,0
253,530125307303,2014,-6.14005520352,39.218511409,0,0,0,0,0,0,0,0,0,0
