field_1,ea_id,lat_modified,lon_modified,FNID,EFF_YEAR,COUNTRY,LZNUM,LZCODE,LZNAMEEN,LZNAMEFR,LZNAMESP,LZNAMEPT,CLASS
15,2212001,-3.42440,36.83970,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
17,2309002,-3.48032,36.70207,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
36,3510004,-3.31003,37.06694,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
37,3513005,-3.32549,37.16010,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
345,21407003,-3.57457,36.93854,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
346,21408001,-3.55024,37.01334,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
347,21408330,-3.58986,36.97372,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
348,21408363,-3.58155,36.96759,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
438,2111001,-3.55575,36.09030,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
442,2212001,-3.42440,36.83970,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
444,2224305,-3.55403,36.87979,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
446,2224305,-3.36587,36.85381,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
447,2224305,-3.37392,36.88771,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
448,2309002,-3.48032,36.70207,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
455,2314016,-3.59070,36.97288,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
478,3204003,-3.51664,37.55130,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
482,3207301,-3.65137,37.56839,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
504,3510004,-3.31003,37.06694,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
505,3510004,-3.37977,37.33293,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
506,3513005,-3.32549,37.16010,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
512,4127004,-3.42867,36.74622,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
779,7123067,-3.43861,36.70699,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
813,7206012,-3.30049,37.11769,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
1794,21309003,-3.55631,36.98354,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
1804,21407003,-3.57457,36.93854,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
1806,21407003,-3.63534,37.03637,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
1808,21407003,-3.62023,36.90900,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
1809,21408001,-3.55024,37.01334,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
1810,21408330,-3.58986,36.97372,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
1812,21408330,-3.47133,37.01814,TZ2009L113,2009,TZ,13,TZ13,Lower Arusha-Simanjiro Maize,,,,
