"ea_id","FS_year","lat_modified","lon_modified","country"
10736377,2010,-11.4364995956421,34.0029983520508,"mw"
10736466,2010,-11.4471998214722,34.0018005371094,"mw"
10736596,2010,-11.4555997848511,33.9884986877441,"mw"
10737199,2010,-11.4821996688843,34.0013008117676,"mw"
10739309,2011,-11.454400062561,34.0158004760742,"mw"
10741504,2010,-11.4449996948242,34.0306015014648,"mw"
10744039,2010,-11.4612998962402,34.0285987854004,"mw"
10744154,2011,-11.4708995819092,34.0355987548828,"mw"
10744649,2010,-11.4736003875732,34.0150985717773,"mw"
10746033,2010,-11.4608001708984,33.9738998413086,"mw"
10746244,2010,-11.4696998596191,33.9869003295898,"mw"
20101014,2010,-12.5858001708984,33.4444999694824,"mw"
20101387,2011,-12.4547996520996,33.5252990722656,"mw"
20102311,2010,-12.731499671936,33.7024002075195,"mw"
20103365,2010,-12.6721000671387,33.5395011901855,"mw"
20105073,2011,-12.9041996002197,33.4281005859375,"mw"
20105181,2010,-13.0993995666504,33.4589004516602,"mw"
20106042,2010,-13.0738000869751,33.4720993041992,"mw"
20107490,2010,-13.2667999267578,33.1526985168457,"mw"
20107615,2011,-13.3201999664307,33.3348999023438,"mw"
20108739,2010,-13.1445999145508,33.5780982971191,"mw"
20109486,2010,-13.1766996383667,33.6623001098633,"mw"
20109653,2010,-13.0745000839233,33.6771011352539,"mw"
20110170,2011,-12.683500289917,33.3586006164551,"mw"
20110620,2010,-12.8936996459961,33.3730010986328,"mw"
20111107,2011,-13.5244998931885,33.3306007385254,"mw"
20111530,2011,-13.4696998596191,33.2495002746582,"mw"
20111718,2010,-13.3487997055054,33.4403991699219,"mw"
20112290,2010,-12.8852996826172,33.6596984863281,"mw"
20112334,2010,-13.0994997024536,33.782398223877,"mw"
20112661,2010,-12.8816003799438,33.7267990112305,"mw"
20113112,2010,-12.9685001373291,33.8605003356934,"mw"
20113529,2011,-12.861499786377,33.8932991027832,"mw"
20115434,2010,-13.0560998916626,33.394100189209,"mw"
20120081,2010,-13.0520000457764,33.4894981384277,"mw"
20201109,2010,-12.4573001861572,34.0404014587402,"mw"
20201206,2011,-12.5705003738403,34.1133995056152,"mw"
20201264,2010,-12.7355003356934,34.2246017456055,"mw"
20201269,2010,-12.6598997116089,34.1614990234375,"mw"
20201354,2010,-12.4928998947144,34.171199798584,"mw"
20201450,2010,-12.4523000717163,34.1018981933594,"mw"
20201646,2010,-12.6224002838135,34.1651000976562,"mw"
20202343,2011,-12.3545999526978,34.0208015441895,"mw"
20203135,2010,-12.9603996276855,34.296501159668,"mw"
20203494,2010,-12.9089002609253,34.2540016174316,"mw"
20203656,2010,-13.0081996917725,34.3219985961914,"mw"
20203694,2011,-13.1017999649048,34.2649002075195,"mw"
20204124,2010,-12.8111000061035,34.212100982666,"mw"
20204712,2010,-12.8681001663208,34.2448997497559,"mw"
20205207,2010,-13.3500003814697,34.2705001831055,"mw"
20205484,2010,-13.2334995269775,34.2221984863281,"mw"
