"","ea_id","lat_modified","lon_modified"
"222",20610050,-14.170676,33.934545
"223",20610050,-14.224328,33.985071
"224",20614477,-14.033,33.5159
"225",20614477,-13.923461,33.472819
"226",20610050,-13.934014,33.811669
"227",20614477,-14.043435,33.541343
"228",20610050,-13.992758,33.80257
"229",20610050,-14.238755,34.062371
"230",20614477,-13.829722,33.038127
"231",20614477,-13.835978,33.046182
"232",20614477,-14.034461,33.52439
"233",20614477,-13.923912,33.771566
"234",20614477,-14.137208,33.385014
"235",20614477,-14.085206,33.570969
"236",20614477,-13.999822,33.819505
"237",20614477,-14.048179,33.475161
"238",20614477,-14.242188,33.762852
"239",20615735,-12.861681,33.683838
"240",20615735,-11.277084,33.560686
"241",20615735,-13.9347,33.494
"242",20615064,-13.8122,33.5005
"243",20615735,-13.913736,33.499389
"244",20615064,-13.750901,33.486939
"245",20615064,-13.188338,33.50286
"246",20615064,-13.787872,33.544029
"247",20615735,-13.945914,33.582358
"248",20615064,-13.8207,33.457612
"249",20615735,-13.569322,33.162861
"250",20615064,-13.846228,33.400552
"251",20615064,-10.950477,33.723828
"252",20615064,-13.983983,33.82318
"253",20615064,-13.791109,33.720067
"254",20615064,-13.78474,33.284361
"255",20615064,-13.174274,33.705845
"256",20615064,-13.716076,33.349569
"257",20801046,-14.3763,34.0394
"258",20705372,-13.5027,32.9863
"259",20705372,-13.33484,33.067606
"260",20705372,-13.31211,33.149383
"261",20705372,-13.465159,33.134204
"262",20705372,-13.528522,32.954814
"263",20705372,-13.621545,32.761768
"264",20803156,-14.2992,34.1126
"265",20804405,-14.0261,34.26
"266",20804405,-13.898812,34.484904
"267",20804405,-13.893613,34.439957
"268",20804405,-14.003956,33.741913
"269",20803156,-14.345322,34.074784
"270",20804405,-12.963441,34.28353
"271",20804405,-14.023373,33.82134
"272",20804405,-14.015635,33.779023
"273",20804405,-14.16791,34.399896
"274",20804405,-14.027646,33.802206
"275",20804405,-14.104497,34.252164
"276",20804405,-14.013713,33.716756
"277",20808421,-14.3487,34.404
"278",20808421,-11.69223,34.092274
"279",20807727,-14.3556,34.5793
"280",20807727,-13.928048,34.495532
"281",20808421,-11.452416,34.006209
"282",20807727,-13.039802,33.538332
"283",20807727,-14.376201,34.554391
"284",20807727,-13.434011,34.278965
"285",20808421,-14.266754,34.145197
"286",20808421,-13.933646,33.136623
"287",20807727,-14.409026,34.581171
"288",20906524,-14.7689,34.6461
"289",20906524,-13.87902,33.790344
"290",20906524,-14.984124,34.933492
