fnid,clust
MW2012C3030414,30403225
MW2012C3030414,30403225
MW2012C3030414,30403225
MW2012C3030414,30403225
MW2012C3030414,30403225
MW2012C3030414,30403225
MW2012C3030414,30403225
MW2012C3030414,30403225
MW2012C3030414,30403225
MW2012C3030414,30403225
MW2012C3030506,30504251
MW2012C3030506,30504251
MW2012C3030506,30504251
MW2012C3030506,30504251
MW2012C3030506,30504251
MW2012C3030506,30504251
MW2012C3030506,30504251
MW2012C3030506,30504251
MW2012C3030506,30504251
MW2012C3030506,30504251
MW2012C3030506,30504251
MW2012C3030506,30504251
MW2012C3030613,30601639
MW2012C3030613,30601639
MW2012C3030613,30601639
MW2012C3030613,30601639
MW2012C3030613,30601639
MW2012C3030613,30601639
MW2012C3030613,30601639
MW2012C3030613,30601639
MW2012C3030613,30601639
MW2012C3030613,30601639
MW2012C3030613,30601639
MW2012C3030613,30601639
MW2012C3030613,30601639
MW2012C3030613,30601639
MW2012C3030613,30601639
MW2012C3030613,30601639
MW2012C3030716,30707534
MW2012C3030716,30707534
MW2012C3030716,30707534
MW2012C3030716,30707534
MW2012C3030716,30707534
MW2012C3030716,30707534
MW2012C3030716,30707534
MW2012C3030716,30707534
MW2012C3030716,30707534
MW2012C3030716,30707534
MW2012C3030716,30707534
MW2012C3030716,30707534
MW2012C3030716,30707534
MW2012C3030716,30707534
MW2012C3030716,30707534
MW2012C3030716,30707534
MW2012C3030716,30711684
MW2012C3030716,30711684
MW2012C3030716,30711684
MW2012C3030716,30711684
MW2012C3030716,30711684
MW2012C3030716,30711684
MW2012C3030716,30711684
MW2012C3030716,30711684
MW2012C3030804,30803233
MW2012C3030804,30803233
MW2012C3030804,30803233
MW2012C3030804,30803233
MW2012C3030804,30803233
MW2012C3030804,30803233
MW2012C3030804,30803233
MW2012C3030804,30803233
MW2012C3030804,30803233
MW2012C3030804,30803233
MW2012C3030804,30803233
MW2012C3030804,30803233
MW2012C3030804,30803233
MW2012C3030804,30803233
MW2012C3030804,30803233
MW2012C3030804,30803233
MW2012C3030804,30806611
MW2012C3030804,30806611
MW2012C3030804,30806611
MW2012C3030804,30806611
MW2012C3030804,30806611
MW2012C3030804,30806611
MW2012C3030804,30806611
MW2012C3030804,30806611
MW2012C3030804,30806611
MW2012C3030804,30806611
MW2012C3030804,30806611
MW2012C3030804,30806611
MW2012C3030804,30806611
MW2012C3030804,30806611
MW2012C3030804,30806611
MW2012C3030804,30806611
MW2012C3031005,31002169
MW2012C3031005,31002169
MW2012C3031005,31002169
MW2012C3031005,31002169
