"","ea_id","FNID"
"603",30206572,"MW2012C3020619"
"604",30302601,"MW2012C3020619"
"605",30709438,"MW2012C3020619"
"606",30805259,"MW2012C3020619"
"607",31201516,"MW2012C3020619"
"608",31201104,"MW2012C3020619"
"609",31435120,"MW2012C3020619"
"610",31435120,"MW2012C3020619"
"611",31432676,"MW2012C3020619"
"612",31436695,"MW2012C3020619"
"613",31442394,"MW2012C3020619"
"614",31442394,"MW2012C3020619"
"615",31436695,"MW2012C3020619"
"616",31436695,"MW2012C3020619"
"617",31441389,"MW2012C3020619"
"618",31443108,"MW2012C3020619"
"619",31532674,"MW2012C3020619"
"620",31540419,"MW2012C3020619"
"621",31545384,"MW2012C3020619"
"622",31550254,"MW2012C3020619"
"623",31550254,"MW2012C3020619"
"624",31555614,"MW2012C3020619"
"625",31554613,"MW2012C3020619"
"626",10732192,"MW2012C3020619"
"627",10734370,"MW2012C3020619"
"628",10735173,"MW2012C3020619"
"629",20206362,"MW2012C3020619"
"630",20206362,"MW2012C3020619"
"631",20404032,"MW2012C3020619"
"632",20601626,"MW2012C3020619"
"633",20508349,"MW2012C3020619"
"634",20601626,"MW2012C3020619"
"635",20601626,"MW2012C3020619"
"636",20603533,"MW2012C3020619"
"637",20607315,"MW2012C3020619"
"638",20610050,"MW2012C3020619"
"639",20610050,"MW2012C3020619"
"640",20614477,"MW2012C3020619"
"641",20615064,"MW2012C3020619"
"642",20804405,"MW2012C3020619"
"643",20909113,"MW2012C3020619"
"644",21037030,"MW2012C3020619"
"645",21037030,"MW2012C3020619"
"646",21037536,"MW2012C3020619"
"647",21051203,"MW2012C3020619"
"648",21048764,"MW2012C3020619"
"649",21048764,"MW2012C3020619"
"650",21055241,"MW2012C3020619"
"651",21055241,"MW2012C3020619"
"652",21055693,"MW2012C3020619"
"653",21066096,"MW2012C3020619"
"654",21080308,"MW2012C3020619"
"655",21080308,"MW2012C3020619"
"656",21080308,"MW2012C3020619"
"657",30306555,"MW2012C3020619"
"658",31201007,"MW2012C3020619"
"659",31435753,"MW2012C3020619"
"660",20701527,"MW2012C3020703"
"661",20701659,"MW2012C3020703"
"662",20702011,"MW2012C3020703"
"663",20702282,"MW2012C3020703"
"664",20702464,"MW2012C3020703"
"665",20702471,"MW2012C3020703"
"666",20702542,"MW2012C3020703"
"667",20703025,"MW2012C3020703"
"668",20703083,"MW2012C3020703"
"669",20703316,"MW2012C3020703"
"670",20703565,"MW2012C3020703"
"671",20703595,"MW2012C3020703"
"672",20704037,"MW2012C3020703"
"673",20704289,"MW2012C3020703"
"674",20704353,"MW2012C3020703"
"675",20704738,"MW2012C3020703"
"676",20705328,"MW2012C3020703"
"677",20705372,"MW2012C3020703"
"678",20705495,"MW2012C3020703"
"679",20705652,"MW2012C3020703"
"680",20705657,"MW2012C3020703"
"681",20706163,"MW2012C3020703"
"682",20706294,"MW2012C3020703"
"683",20720368,"MW2012C3020703"
"684",10401140,"MW2012C3020703"
"685",20111718,"MW2012C3020703"
"686",20601626,"MW2012C3020703"
"687",20604638,"MW2012C3020703"
"688",20607260,"MW2012C3020703"
"689",20614477,"MW2012C3020703"
"690",20702471,"MW2012C3020703"
"691",20704738,"MW2012C3020703"
"692",20704738,"MW2012C3020703"
"693",20704738,"MW2012C3020703"
"694",20704738,"MW2012C3020703"
"695",20704738,"MW2012C3020703"
"696",20705372,"MW2012C3020703"
"697",20705372,"MW2012C3020703"
"698",20705372,"MW2012C3020703"
"699",20706163,"MW2012C3020703"
"700",21051203,"MW2012C3020703"
"701",21053745,"MW2012C3020703"
"702",21052427,"MW2012C3020703"
"703",21074510,"MW2012C3020703"
"704",30503685,"MW2012C3020703"
"705",31441389,"MW2012C3020703"
"706",20112661,"MW2012C3020703"
"707",20614477,"MW2012C3020703"
"708",20615735,"MW2012C3020703"
"709",20705372,"MW2012C3020703"
"710",20705372,"MW2012C3020703"
"711",20705372,"MW2012C3020703"
"712",20808421,"MW2012C3020703"
"713",30801300,"MW2012C3030816"
"714",30801305,"MW2012C3030816"
"715",30801386,"MW2012C3030816"
"716",30801631,"MW2012C3030816"
"717",30801679,"MW2012C3030816"
"718",30802036,"MW2012C3030816"
"719",30802485,"MW2012C3030816"
"720",30802579,"MW2012C3030816"
"721",21055241,"MW2012C3030816"
"722",30302601,"MW2012C3030816"
"723",30708665,"MW2012C3030816"
"724",30708665,"MW2012C3030816"
"725",30710079,"MW2012C3030816"
"726",30801679,"MW2012C3030816"
"727",30806611,"MW2012C3030816"
"728",30901475,"MW2012C3030816"
"729",31004312,"MW2012C3030816"
"730",31532674,"MW2012C3030816"
"731",31536751,"MW2012C3030816"
"732",31539670,"MW2012C3030816"
"733",31555614,"MW2012C3030816"
"734",20601626,"MW2012C3030816"
"735",21055241,"MW2012C3030816"
"736",30708665,"MW2012C3030816"
"737",30708665,"MW2012C3030816"
"738",30801679,"MW2012C3030816"
"739",30705391,"MW2012C3030816"
"740",30806611,"MW2012C3030816"
"741",31550254,"MW2012C3030816"
"742",31555614,"MW2012C3030816"
"743",30601052,"MW2012C3030613"
"744",30601144,"MW2012C3030613"
"745",30601428,"MW2012C3030613"
"746",30601526,"MW2012C3030613"
"747",30601608,"MW2012C3030613"
"748",30601639,"MW2012C3030613"
"749",30601746,"MW2012C3030613"
"750",30602059,"MW2012C3030613"
"751",30602217,"MW2012C3030613"
"752",30602220,"MW2012C3030613"
"753",30602235,"MW2012C3030613"
"754",30602408,"MW2012C3030613"
"755",30602443,"MW2012C3030613"
"756",30602445,"MW2012C3030613"
"757",30602472,"MW2012C3030613"
"758",30602512,"MW2012C3030613"
"759",30602713,"MW2012C3030613"
"760",30602734,"MW2012C3030613"
"761",30620179,"MW2012C3030613"
"762",30620196,"MW2012C3030613"
"763",30620323,"MW2012C3030613"
"764",30620644,"MW2012C3030613"
"765",31302162,"MW2012C3030613"
"766",31302651,"MW2012C3030613"
"767",31302761,"MW2012C3030613"
"768",31303567,"MW2012C3030613"
"769",31303585,"MW2012C3030613"
"770",10744649,"MW2012C3030613"
"771",30602235,"MW2012C3030613"
"772",30602235,"MW2012C3030613"
"773",30602235,"MW2012C3030613"
"774",30620196,"MW2012C3030613"
"775",30620196,"MW2012C3030613"
