ea_id,lat_modified,lon_modified,FNID,EFF_YEAR,COUNTRY,ADMIN0,ADMIN1,ADMIN2,ADMIN3,LZCODE,LZNAME,FNID_OLD,EFF_PERD
"30506457",-15.66910,34.93520,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"30506748",-15.60950,34.97060,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"31006556",-15.82480,34.83750,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"31303757",-15.38130,34.91150,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"30503685",-15.42390,34.89910,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"30503685",-15.35772,34.96412,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"30504518",-15.70880,34.83010,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"30502456",-15.51470,35.10470,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"30502456",-15.42905,34.87982,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"30502456",-15.55490,35.00143,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"31002169",-15.51320,35.03359,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"31006556",-15.82480,34.83750,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"31006556",-15.73461,34.82866,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"31536118",-15.59047,35.09617,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"31532674",-15.62322,35.06146,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"21080308",-15.50669,34.84617,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"30501383",-15.65026,34.91140,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
