field_1,ea_id,lat_modified,lon_modified,FNID,EFF_YEAR,COUNTRY,ADMIN0,ADMIN1,ADMIN2,ADMIN3,LZCODE,LZNAME,FNID_OLD,EFF_PERD
53,1.07352e+07,-9.66356,33.24006,MW2012C3010102,2012,MW,Malawi,Northern,Chitipa,,MW02,Chitipa Millet & Maize,10920502,3
61,1.07446e+07,-14.30721,34.36273,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
153,2.05083e+07,-14.28339,34.15592,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
172,2.06016e+07,-14.38793,34.31399,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
173,2.06016e+07,-14.38832,34.32830,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
176,2.06016e+07,-14.19851,34.01966,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
223,2.06101e+07,-14.22433,33.98507,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
229,2.06101e+07,-14.23875,34.06237,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
257,2.0801e+07,-14.37630,34.03940,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
264,2.08032e+07,-14.29920,34.11260,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
265,2.08044e+07,-14.02610,34.26000,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
269,2.08032e+07,-14.34532,34.07478,MW2012C3020803,2012,MW,Malawi,Central,Dedza,,MW03,Kasungu Lilongwe Plain,10920603,3
