"","UG2011L101","UG2011L102","UG2011L103","UG2011L104","UG2011L105","UG2011L106","UG2011L107","UG2011L108","UG2011L109","UG2011L110","UG2011L111","UG2011L112","UG2011L113","UG2011L114","UG2011L115","UG2011L116","UG2011L117","UG2011L118","UG2011L119","UG2011L120","UG2011L121","UG2011L122","UG2011L123","UG2011L124","UG2011L125","UG2011L126","UG2011L127","UG2011L128","UG2011L129","UG2011L130","UG2011L131","UG2011L132","UG2011L133","UG2011L134","UG2011L135","UG2011L136","UG2011L137","UG2011L138","UG2011L139","UG2011L140","UG2011L141","date1"
"mat","286.540496826172","289.509111192491","290.498992919922","290.685012817383","290.400329589844","291.183990478516","291.116668701172","290.566009521484","292.194000244141","294.865498860677","293.09071132115","294.143005371094","293.442169189453","293.720336914062","294.984600830078","294.59327867296","294.686370849609","293.307150033804","293.940505981445","293.746490478516","292.722826789407","290.966003417969","292.103731282552","291.75","291.657745361328","290.35786819458","293.378236658433","289.269996643066","292.364003499349","293.490997314453","293.111999511719","293.689336140951","292.794006347656","292.669677734375","292.064723573882","292.241500854492","293.021899414062","291.818717956543","292.576751708984","292.018005371094","292.255511474609","12/05/2015"
"mat","286.540496826172","289.509111192491","290.498992919922","290.685012817383","290.400329589844","291.183990478516","291.116668701172","290.566009521484","292.194000244141","294.865498860677","293.09071132115","294.143005371094","293.442169189453","293.720336914062","294.984600830078","294.59327867296","294.686370849609","293.307150033804","293.940505981445","293.746490478516","292.722826789407","290.966003417969","292.103731282552","291.75","291.657745361328","290.35786819458","293.378236658433","289.269996643066","292.364003499349","293.490997314453","293.111999511719","293.689336140951","292.794006347656","292.669677734375","292.064723573882","292.241500854492","293.021899414062","291.818717956543","292.576751708984","292.018005371094","292.255511474609","12/06/2015"
"mat","286.539489746094","289.500223795573","290.498992919922","290.685012817383","290.334665934245","291.183990478516","291.116668701172","290.566009521484","292.194000244141","294.856002807617","293.089569091797","294.128997802734","293.438669840495","293.720336914062","294.895001220703","294.568832397461","294.678749084473","293.307150033804","293.940505981445","293.746490478516","292.72271010455","290.966003417969","292.099867757161","291.75","291.653495788574","290.339744567871","293.376705394072","289.26774597168","292.364003499349","293.490997314453","293.111999511719","293.689336140951","292.794006347656","292.668670654297","292.064585718615","292.227005004883","293.012197875977","291.81049823761","292.566497802734","292.018005371094","292.215222846137","12/07/2015"
"mat","286.539489746094","289.500223795573","290.498992919922","290.685012817383","290.334665934245","291.183990478516","291.116668701172","290.566009521484","292.194000244141","294.856002807617","293.089569091797","294.128997802734","293.438669840495","293.720336914062","294.895001220703","294.568832397461","294.678749084473","293.307150033804","293.940505981445","293.746490478516","292.72271010455","290.966003417969","292.099867757161","291.75","291.653495788574","290.339744567871","293.376705394072","289.26774597168","292.364003499349","293.490997314453","293.111999511719","293.689336140951","292.794006347656","292.668670654297","292.064585718615","292.227005004883","293.012197875977","291.81049823761","292.566497802734","292.018005371094","292.215222846137","12/08/2015"
"mat","286.539489746094","289.500223795573","290.498992919922","290.685012817383","290.333669026693","291.183990478516","291.116668701172","290.566009521484","292.194000244141","294.856002807617","293.089569091797","294.128997802734","293.438669840495","293.720336914062","294.895001220703","294.568832397461","294.678749084473","293.307150033804","293.940505981445","293.746490478516","292.72271010455","290.966003417969","292.099603271484","291.75","291.652503967285","290.335006713867","293.376646154067","289.265998840332","292.364003499349","293.490997314453","293.111999511719","293.689336140951","292.794006347656","292.668670654297","292.064585718615","292.227005004883","293.012197875977","291.81049823761","292.566497802734","292.018005371094","292.215222846137","12/09/2015"
"mat","286.539489746094","289.500223795573","290.498992919922","290.682510375977","290.333669026693","291.183990478516","291.116668701172","290.566009521484","292.194000244141","294.855667114258","293.088854108538","294.126007080078","293.438171386719","293.720336914062","294.895001220703","294.568666246202","294.678749084473","293.307150033804","293.940505981445","293.746490478516","292.72271010455","290.966003417969","292.099603271484","291.75","291.652503967285","290.335006713867","293.376646154067","289.265998840332","292.364003499349","293.490997314453","293.111999511719","293.689336140951","292.794006347656","292.668670654297","292.064585718615","292.227005004883","293.011196899414","291.81049823761","292.566413879395","292.018005371094","292.214978705512","12/10/2015"
"mat","286.539489746094","289.500223795573","290.498992919922","290.682510375977","290.312662760417","291.183990478516","291.116668701172","290.566009521484","292.194000244141","294.855667114258","293.088282993862","294.126007080078","293.433832804362","293.720336914062","294.895001220703","294.568666246202","294.678749084473","293.307072566106","293.940505981445","293.746490478516","292.72271010455","290.966003417969","292.099603271484","291.75","291.652503967285","290.334629058838","293.36717672909","289.246742248535","292.233001708984","293.376007080078","292.932006835938","293.661336263021","292.619491577148","292.652323404948","292.051965121565","292.108001708984","292.950796508789","291.809247970581","292.566329956055","291.973999023438","292.193288845486","12/11/2015"
"mat","286.539489746094","289.500223795573","290.498992919922","290.682510375977","290.274658203125","291.183990478516","291.116668701172","290.566009521484","292.194000244141","294.694666544596","293.088143484933","294.123992919922","293.430994669596","293.720336914062","294.530200195312","294.383946736654","294.620624542236","293.307072566106","293.940505981445","293.746002197266","292.72271010455","290.966003417969","292.099603271484","291.75","291.652503967285","290.334629058838","293.36717672909","289.246742248535","292.233001708984","293.376007080078","292.932006835938","293.661336263021","292.619491577148","292.652323404948","292.051965121565","292.108001708984","292.936096191406","291.809247970581","292.547332763672","291.973999023438","292.193244086372","12/12/2015"
"mat","286.539489746094","289.500223795573","290.498992919922","290.682510375977","290.185658772786","291.183990478516","291.116668701172","290.566009521484","292.194000244141","294.663172403971","293.087428501674","294.093994140625","293.424667358398","293.720336914062","294.321795654297","294.313837687174","294.606746673584","293.307072566106","293.940505981445","293.746002197266","292.72271010455","290.966003417969","292.099603271484","291.75","291.652503967285","290.334629058838","293.36717672909","289.246742248535","292.233001708984","293.376007080078","292.932006835938","293.661336263021","292.619491577148","292.652323404948","292.051965121565","292.108001708984","292.924197387695","291.809247970581","292.532666524251","291.973999023438","292.192243787977","12/13/2015"
"mat","286.539489746094","289.500223795573","290.498992919922","290.682510375977","290.141662597656","291.183990478516","291.116668701172","290.566009521484","292.194000244141","294.650502522786","293.087428501674","294.093994140625","293.424667358398","293.720336914062","294.247601318359","294.302502102322","294.606746673584","293.307072566106","293.940505981445","293.746002197266","292.72271010455","290.966003417969","292.099603271484","291.75","291.652503967285","290.33162689209","293.362647561466","289.204498291016","292.158671061198","293.363006591797","292.913497924805","293.661336263021","292.615493774414","292.652323404948","292.051896720097","292.098007202148","292.902297973633","291.809247970581","292.532666524251","291.973999023438","292.175598144531","12/14/2015"
"mat","286.539489746094","289.500223795573","290.498992919922","290.682510375977","290.141662597656","291.183990478516","291.116668701172","290.566009521484","292.194000244141","294.650502522786","293.087428501674","294.093994140625","293.424667358398","293.720336914062","294.247601318359","294.302502102322","294.606746673584","293.307072566106","293.940505981445","293.746002197266","292.72271010455","290.966003417969","292.099603271484","291.75","291.652503967285","290.33162689209","293.362647561466","289.204498291016","292.158671061198","293.363006591797","292.913497924805","293.661336263021","292.615493774414","292.652323404948","292.051896720097","292.098007202148","292.902297973633","291.809247970581","292.532666524251","291.973999023438","292.175598144531","12/15/2015"
"mat","286.539489746094","289.500223795573","290.498992919922","290.682510375977","290.141662597656","291.183990478516","291.116668701172","290.566009521484","292.194000244141","294.650502522786","293.087428501674","294.093994140625","293.424667358398","293.720336914062","294.247601318359","294.302502102322","294.606746673584","293.307072566106","293.940505981445","293.746002197266","292.72271010455","290.966003417969","292.099603271484","291.75","291.652503967285","290.33162689209","293.362647561466","289.204498291016","292.158671061198","293.363006591797","292.913497924805","293.661336263021","292.615493774414","292.652323404948","292.051896720097","292.098007202148","292.902297973633","291.809247970581","292.532666524251","291.973999023438","292.175598144531","12/16/2015"
"mat","286.539489746094","289.500223795573","290.498992919922","290.682510375977","290.141662597656","291.183990478516","291.116668701172","290.566009521484","292.194000244141","294.650502522786","293.087428501674","294.093994140625","293.424667358398","293.720336914062","294.247601318359","294.302502102322","294.606746673584","293.307072566106","293.940505981445","293.746002197266","292.72271010455","290.966003417969","292.099603271484","291.75","291.652503967285","290.33162689209","293.362647561466","289.204498291016","292.158671061198","293.363006591797","292.913497924805","293.661336263021","292.615493774414","292.652323404948","292.051896720097","292.098007202148","292.902297973633","291.809247970581","292.532666524251","291.973999023438","292.175598144531","12/17/2015"
"mat","286.539489746094","289.500223795573","290.498992919922","290.682510375977","290.141662597656","291.183990478516","291.116668701172","290.566009521484","292.194000244141","294.650502522786","293.087428501674","294.093994140625","293.424667358398","293.720336914062","294.228399658203","294.301447550456","294.606746673584","293.307072566106","293.940505981445","293.746002197266","292.72271010455","290.966003417969","292.099603271484","291.75","291.652503967285","290.33162689209","293.362647561466","289.204498291016","292.158671061198","293.363006591797","292.913497924805","293.661336263021","292.615493774414","292.652323404948","292.051896720097","292.09700012207","292.901797485352","291.809247970581","292.532666524251","291.973999023438","292.129019504123","12/18/2015"
